0	0.0897161763183391   0.0770791449246183
5	0.0397911584726372   0.0473426306902598
10	0.0398070050080133   0.0466426713737885
15	0.0446463901150140   0.0489220944071073
20	0.0501652189514099   0.0524262761310017
25	0.0548130341254010   0.0543608985094526
30	0.0582631372906749   0.0558364608339193
35	0.0591885975407796   0.0574275300546638
40	0.0599705167869482   0.0593828873480577
45	0.0616673946600149   0.0604569256997495
50	0.0609749462323479   0.0605318889382763
55	0.0583271821361442   0.0596395126353695
60	0.0592086033211892   0.0582879250667014
65	0.0578131483823087   0.0587790231159712
70	0.0537579973954092   0.0547900942374477
75	0.0467785583879805   0.0509112664341685
80	0.0410835921114592   0.0435232291154043
85	0.0288185619314314   0.0279064547998134
90	0.0178442339398046   0.0131231787013978
95	0.00929762527998918  0.00856057124180328
100	0.00806692161270379  0.00406933574102806
