  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  -0.466 0.576 -0.329 0.957 0.984   22.7331 21.5717 19.9548
  2   1  0.737 1.080 0.055 -0.217 -0.269   12.7363 11.5798 9.5429
  3   1  0.228 0.709 -0.203 0.535 0.128   15.8469 14.5481 12.3448
  4   1  1.932 2.782 0.422 -1.316 -1.639   15.6204 14.0831 11.2734
  5   1  0.895 -0.166 0.770 -0.386 -0.411   12.7711 11.5557 9.2388
  6   1  1.980 3.417 -2.569 -1.367 -1.663   15.3106 13.6605 10.9572
  7   1  0.535 1.156 -0.021 -0.001 -0.095   13.6306 12.4365 10.3852
  8   1  0.895 -0.166 0.770 -0.386 -0.411   12.7711 11.5557 9.2388
  9   1  2.030 2.196 0.573 -1.422 -1.737   16.4871 14.9404 12.0368
 10   1  0.835 1.219 -0.985 -0.303 -0.383   12.6171 11.4588 9.4450
 11   1  0.487 2.481 -2.053 0.794 -1.015   14.1168 12.7766 10.5075
 12   1  -0.052 -0.802 1.400 0.237 0.855   19.5023 18.1562 16.0040
 13   1  1.402 1.889 0.719 -0.881 -0.939   12.6645 11.4099 9.0930
 14   1  0.582 0.493 0.270 -0.049 -0.156   13.3161 12.1222 10.0194
 15   1  2.496 2.215 0.385 -1.915 -2.126   19.3891 17.6940 14.3624
 16   1  1.968 1.598 2.193 -1.476 -1.454   16.8864 15.4190 12.4956
 17   1  0.487 2.481 -2.053 0.794 -1.015   14.1168 12.7766 10.5075
 18   1  0.798 0.252 0.491 -0.264 -0.371   12.5893 11.4168 9.2536
 19   1  1.805 1.947 -0.912 -1.294 -1.322   14.0663 12.6464 10.1013
 20   1  1.769 1.707 0.797 -1.181 -1.437   14.9719 13.5551 10.8692
 21   1  1.880 2.618 0.817 -1.341 -1.446   15.1471 13.6703 10.9444
 22   1  1.539 2.260 0.556 -0.983 -1.136   13.2531 11.9208 9.5448
 23   1  0.277 -0.447 0.969 0.067 0.483   16.2546 14.8834 12.5909
 24   1  -0.052 -0.802 1.400 0.237 0.855   19.5023 18.1562 16.0040
 25   1  1.401 1.633 -0.218 -0.882 -0.930   12.4867 11.2461 8.9981
 26   1  -0.184 0.340 -0.441 0.692 0.671   19.7870 18.5703 16.7815
 27   1  2.168 3.079 0.830 -1.587 -1.814   17.1398 15.5086 12.4452
 28   1  0.829 1.576 -1.346 -0.247 -0.452   12.8079 11.6191 9.5859
 29   1  -0.052 -0.802 1.400 0.237 0.855   19.5023 18.1562 16.0040
 30   1  1.206 1.153 -0.027 -0.607 -0.880   12.1724 10.9833 8.7646
 31   1  1.968 1.598 2.193 -1.476 -1.454   16.8864 15.4190 12.4956
 32   1  1.297 2.046 -1.655 -0.723 -0.908   12.6707 11.3849 9.2304
 33   1  1.313 3.013 -0.304 -0.735 -0.948   12.8873 11.5695 9.3763
 34   1  0.645 0.736 0.495 -0.136 -0.163   13.0615 11.8909 9.8133
 35   1  0.998 0.855 0.224 -0.432 -0.621   12.1023 10.9526 8.7866
 36   1  0.726 2.146 -1.561 -0.084 -0.469   13.3970 12.1526 10.0359
 37   1  1.215 1.766 -0.436 -0.679 -0.773   12.1856 10.9805 8.8562
 38   1  2.265 2.033 1.724 -1.738 -1.814   18.7092 17.1321 13.9596
 39   1  -0.052 -0.802 1.400 0.237 0.855   19.5023 18.1562 16.0040
 40   1  0.573 -0.856 1.297 -0.248 0.312   14.9677 13.5423 10.9784
