  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  1.603 2.661 0.704 -1.059 -1.181   14.6766 12.9618 10.7193
  2   1  1.099 1.347 0.571 -0.578 -0.636   12.1469 10.6432 8.6105
  3   1  1.055 1.098 0.870 -0.547 -0.572   12.1282 10.6316 8.5730
  4   1  0.883 1.310 0.514 -0.364 -0.419   12.0614 10.5561 8.5807
  5   1  0.546 0.949 -0.499 0.071 -0.185   13.0086 11.4408 9.3646
  6   1  0.752 -0.641 0.917 -0.266 -0.223   12.6781 11.0524 8.7045
  7   1  1.225 0.395 1.195 -0.723 -0.731   13.0720 11.5874 9.3785
  8   1  0.527 -0.642 0.893 -0.067 0.058   13.1545 11.4758 9.0457
  9   1  1.060 0.975 0.182 -0.481 -0.709   12.1405 10.6356 8.6109
 10   1  1.176 1.097 1.020 -0.667 -0.695   12.5317 11.0275 8.9167
 11   1  0.431 0.710 -0.341 0.083 0.045   13.5345 11.9278 9.7835
 12   1  0.282 1.847 -1.524 0.498 -0.205   14.8243 13.1001 10.6762
 13   1  1.675 1.429 0.682 -1.096 -1.325   15.3009 13.6893 11.3265
 14   1  1.363 1.725 0.842 -0.835 -0.915   13.2025 11.6457 9.5461
 15   1  1.033 1.965 -1.829 -0.439 -0.676   13.1161 11.4855 9.4843
 16   1  0.800 0.552 0.723 -0.297 -0.304   12.0485 10.5321 8.4340
 17   1  1.972 1.407 0.735 -1.356 -1.702   17.9681 16.2051 13.5667
 18   1  1.681 2.267 0.215 -1.126 -1.269   15.0091 13.2896 10.9777
 19   1  0.737 -0.575 1.075 -0.547 0.994   14.3036 12.5398 10.0562
 20   1  1.706 3.769 -0.641 -1.005 -1.570   15.9263 13.9927 11.6709
 21   1  2.572 3.823 0.856 -1.985 -2.223   21.0267 18.9899 15.9017
 22   1  0.883 1.310 0.514 -0.364 -0.419   12.0614 10.5561 8.5807
 23   1  1.911 2.446 1.338 -1.388 -1.450   16.9600 15.2108 12.6651
 24   1  2.572 3.823 0.856 -1.985 -2.223   21.0267 18.9899 15.9017
 25   1  1.911 2.446 1.338 -1.388 -1.450   16.9600 15.2108 12.6651
 26   1  1.371 0.259 0.884 -0.837 -0.932   13.8526 12.3182 10.0125
 27   1  0.937 -0.721 1.218 -0.658 1.206   14.3922 12.6030 10.0120
 28   1  0.937 -0.721 1.218 -0.658 1.206   14.3922 12.6030 10.0120
 29   1  1.176 1.097 1.020 -0.667 -0.695   12.5317 11.0275 8.9167
 30   1  0.739 2.179 -2.447 -0.118 -0.427   13.9528 12.2516 10.0237
 31   1  0.752 -0.508 0.925 -0.277 -0.191   12.5317 10.9570 8.6337
 32   1  1.008 1.306 0.313 -0.494 -0.530   12.0429 10.5429 8.5819
 33   1  1.889 3.223 0.073 -1.306 -1.529   16.4628 14.5806 12.1149
 34   1  0.485 -0.361 0.696 -0.009 0.066   13.1424 11.4783 9.1244
 35   1  0.619 0.157 0.594 -0.120 -0.116   12.4636 10.8866 8.7043
 36   1  0.384 -1.733 2.256 -0.727 1.593   18.3567 16.4821 13.6082
 37   1  1.818 3.712 -0.510 -1.202 -1.525   16.1891 14.2555 11.8752
 38   1  1.060 0.975 0.182 -0.481 -0.709   12.1405 10.6356 8.6109
 39   1  0.160 0.642 -0.076 0.357 0.308   15.2675 13.5665 11.3569
 40   1  0.462 1.160 -0.696 0.214 -0.219   13.4320 11.8270 9.6752
 41   1  0.160 0.642 -0.076 0.357 0.308   15.2675 13.5665 11.3569
 42   1  1.060 0.975 0.182 -0.481 -0.709   12.1405 10.6356 8.6109
 43   1  0.752 -0.641 0.917 -0.266 -0.223   12.6781 11.0524 8.7045
 44   1  0.963 -0.739 1.205 -0.532 -0.172   13.1143 11.4599 8.9925
 45   1  1.675 1.429 0.682 -1.096 -1.325   15.3009 13.6893 11.3265
 46   1  4.570 -5.723 6.225 -5.212 3.578   26.3155 22.0235 14.1792
 47   1  1.152 1.366 -0.300 -0.464 -1.031   12.6632 11.1046 9.1046
 48   1  0.022 1.217 -0.736 0.816 -0.226   15.1653 13.4356 11.0718
 49   1  1.839 3.865 -0.559 -1.191 -1.594   16.4165 14.4499 12.0178
 50   1  1.304 2.217 -0.021 -0.757 -0.881   13.0802 11.4803 9.5259
 51   1  1.099 1.347 0.571 -0.578 -0.636   12.1469 10.6432 8.6105
 52   1  0.378 -1.087 1.341 -0.041 0.505   14.7795 12.9781 10.3832
 53   1  1.200 0.770 0.886 -0.680 -0.739   12.6213 11.1760 9.0614
 54   1  1.801 3.411 0.304 -1.230 -1.423   16.0270 14.1665 11.7676
 55   1  0.956 0.727 0.802 -0.451 -0.464   11.9946 10.5008 8.4355
 56   1  4.570 -5.723 6.225 -5.212 3.578   26.3155 22.0235 14.1792
 57   1  4.570 -5.723 6.225 -5.212 3.578   26.3155 22.0235 14.1792
 58   1  2.098 2.210 0.892 -1.502 -1.786   18.5655 16.7314 14.0176
 59   1  1.296 2.040 0.435 -0.760 -0.858   12.9390 11.3805 9.3699
 60   1  1.107 2.262 0.121 -0.561 -0.690   12.6715 11.0869 9.1256
 61   1  1.636 2.007 -0.395 -1.109 -1.178   14.4754 12.7830 10.5650
 62   1  1.706 3.769 -0.641 -1.005 -1.570   15.9263 13.9927 11.6709
 63   1  1.152 1.366 -0.300 -0.464 -1.031   12.6632 11.1046 9.1046
 64   1  2.036 3.330 -0.430 -1.451 -1.674   17.2078 15.2598 12.6931
 65   1  4.570 -5.723 6.225 -5.212 3.578   26.3155 22.0235 14.1792
 66   1  0.160 0.642 -0.076 0.357 0.308   15.2675 13.5665 11.3569
 67   1  1.099 1.347 0.571 -0.578 -0.636   12.1469 10.6432 8.6105
 68   1  0.914 0.158 0.723 -0.401 -0.440   12.1352 10.6194 8.4745
 69   1  0.313 -0.266 0.766 0.052 0.376   14.2815 12.5719 10.2529
 70   1  0.546 0.949 -0.499 0.071 -0.185   13.0086 11.4408 9.3646
 71   1  1.574 2.746 -2.574 -0.961 -1.251   14.7925 12.9579 10.8602
 72   1  1.008 1.306 0.313 -0.494 -0.530   12.0429 10.5429 8.5819
 73   1  0.214 0.047 0.459 0.069 0.332   14.5096 12.8248 10.5958
 74   1  1.911 -0.042 1.581 -1.388 -1.454   18.3764 16.5904 13.8150
 75   1  1.200 1.608 0.834 -0.687 -0.722   12.4817 10.9676 8.9311
 76   1  0.800 0.552 0.723 -0.297 -0.304   12.0485 10.5321 8.4340
 77   1  1.726 2.316 1.084 -1.199 -1.271   15.5226 13.8164 11.4119
 78   1  -0.907 -0.427 0.214 1.348 1.499   26.4886 25.1567 23.7554
 79   1  0.431 0.710 -0.341 0.083 0.045   13.5345 11.9278 9.7835
 80   1  0.956 0.727 0.802 -0.451 -0.464   11.9946 10.5008 8.4355
 81   1  -0.407 -0.012 -0.845 0.919 0.886   20.7112 19.1847 17.4858
 82   1  1.200 0.770 0.886 -0.680 -0.739   12.6213 11.1760 9.0614
 83   1  0.579 -1.140 1.638 -0.627 0.971   15.0869 13.2503 10.5053
 84   1  1.911 -0.042 1.581 -1.388 -1.454   18.3764 16.5904 13.8150
 85   1  0.313 -0.266 0.766 0.052 0.376   14.2815 12.5719 10.2529
 86   1  0.858 3.776 -4.466 -0.131 -0.724   16.0338 14.0408 11.4139
 87   1  0.914 0.158 0.723 -0.401 -0.440   12.1352 10.6194 8.4745
 88   1  1.304 2.217 -0.021 -0.757 -0.881   13.0802 11.4803 9.5259
 89   1  0.942 0.500 1.059 -0.455 -0.416   12.1457 10.6330 8.4993
 90   1  0.043 -1.124 1.708 -0.074 1.026   17.6497 15.9331 13.6002
 91   1  1.363 1.725 0.842 -0.835 -0.915   13.2025 11.6457 9.5461
 92   1  0.431 0.710 -0.341 0.083 0.045   13.5345 11.9278 9.7835
 93   1  1.911 -0.042 1.581 -1.388 -1.454   18.3764 16.5904 13.8150
 94   1  1.279 1.655 -1.416 -0.743 -0.832   12.9038 11.2886 9.3280
 95   1  0.418 -1.619 2.051 -0.339 0.836   15.9376 14.0373 11.1062
 96   1  0.627 1.031 0.144 -0.101 -0.167   12.6411 11.0820 9.0005
 97   1  0.179 -1.099 1.608 -0.259 1.384   18.3819 16.6813 14.3723
 98   1  0.022 1.217 -0.736 0.816 -0.226   15.1653 13.4356 11.0718
 99   1  1.304 2.217 -0.021 -0.757 -0.881   13.0802 11.4803 9.5259
100   1  1.043 1.754 -1.609 -0.474 -0.646   12.8609 11.2515 9.2802
---------------------------------------------------------------
AVG   1  1.171 0.825 0.563 -0.712 -0.345   14.9196 13.1572 10.6736
MIN   1  -0.907 -5.723 -4.466 -5.212 -2.223   11.9946 10.5008 8.4340
MAX   1  4.570 3.865 6.225 1.348 3.578   26.4886 25.1567 23.7554

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  0.416 0.038 0.570 0.075 0.099   13.4623 11.8052 9.5294
  2   3  0.378 -0.830 0.981 0.059 0.252   14.0599 12.2767 9.7506
  3   3  0.908 1.005 0.825 -0.404 -0.413   12.0613 10.5496 8.5034
  4   3  0.480 -1.885 2.217 -0.409 1.029   16.7729 14.8294 11.7299
  5   3  1.805 2.393 0.064 -1.269 -1.363   15.7556 13.9865 11.6529
  6   3  1.809 2.271 1.435 -1.291 -1.343   16.4733 14.7252 12.2262
  7   3  0.680 -0.625 0.926 -0.207 -0.120   12.7501 11.1192 8.7071
  8   3  0.902 0.279 0.592 -0.377 -0.448   12.2399 10.7098 8.5669
  9   3  0.506 -0.252 0.609 -0.014 0.008   12.9485 11.2878 8.9563
 10   3  0.879 0.012 0.699 -0.362 -0.414   12.1741 10.6336 8.4470
 11   3  0.776 1.169 0.500 -0.263 -0.299   12.0480 10.5177 8.4919
 12   3  0.935 1.227 0.788 -0.431 -0.443   12.0746 10.5611 8.5339
 13   3  1.712 2.085 1.342 -1.203 -1.227   15.5689 13.9382 11.5574
 14   3  1.493 2.661 -0.022 -0.885 -1.186   14.3692 12.6284 10.4978
 15   3  0.666 0.053 0.602 -0.161 -0.175   12.3426 10.7876 8.6185
 16   3  0.442 -1.492 1.712 -0.149 0.522   14.9518 13.1576 10.3740
 17   3  0.652 1.131 0.419 -0.141 -0.170   12.6796 11.1052 9.0057
 18   3  1.013 1.988 0.237 -0.475 -0.582   12.4288 10.8834 8.9190
 19   3  0.509 0.359 0.507 -0.009 -0.009   12.7688 11.1573 8.9533
 20   3  0.889 0.848 0.785 -0.395 -0.378   12.0125 10.5371 8.5078
 21   3  0.397 -1.044 1.473 -0.169 0.633   15.0373 13.2379 10.6378
 22   3  0.344 -0.967 1.122 0.057 0.373   14.5436 12.7566 10.2281
 23   3  0.907 0.365 0.907 -0.407 -0.406   12.1502 10.6122 8.4509
 24   3  1.184 -1.584 2.032 -1.059 1.445   15.5458 13.5923 10.4441
 25   3  0.577 -0.444 0.804 -0.106 -0.010   12.9187 11.2599 8.8894
 26   3  0.723 1.451 -0.324 -0.182 -0.290   12.7089 11.1465 9.1131
 27   3  0.742 1.186 -0.881 -0.211 -0.291   12.7871 11.2069 9.1481
 28   3  0.362 0.022 0.475 0.080 0.469   14.6318 12.9202 10.6606
 29   3  0.051 0.243 -0.087 0.464 0.427   15.9928 14.3059 12.2402
 30   3  0.630 0.081 0.535 -0.121 -0.148   12.3736 10.7723 8.5544
 31   3  0.714 1.446 0.028 -0.172 -0.288   12.6405 11.0695 9.0274
 32   3  0.221 0.135 0.430 0.274 0.289   14.7489 13.0364 10.8032
 33   3  1.196 1.125 -0.016 -0.561 -0.954   12.3660 10.8231 8.7599
 34   3  0.408 -0.962 1.176 -0.021 0.357   14.3731 12.5814 9.9943
 35   3  0.925 0.875 0.496 -0.399 -0.472   12.1330 10.6186 8.5603
 36   3  0.960 0.324 0.450 -0.394 -0.607   12.0565 10.5952 8.5107
 37   3  1.375 1.684 -0.142 -0.753 -1.097   13.3584 11.7812 9.8130
 38   3  0.411 0.288 0.282 0.104 0.055   13.3787 11.7590 9.5530
 39   3  0.775 0.711 0.072 -0.191 -0.440   12.1153 10.5834 8.5374
 40   3  1.106 1.742 0.169 -0.529 -0.743   12.4409 10.9096 8.9647
 41   3  1.038 0.975 0.817 -0.526 -0.559   12.0967 10.6177 8.5846
 42   3  1.209 1.371 -0.480 -0.698 -0.726   12.4407 10.8799 8.8683
 43   3  1.800 2.038 1.514 -1.292 -1.315   16.3781 14.7015 12.2232
 44   3  -0.171 0.003 0.346 0.691 0.643   18.0811 16.4793 14.6222
 45   3  0.695 1.230 0.285 -0.180 -0.220   12.5187 10.9650 8.9022
 46   3  0.571 -0.977 1.184 -0.146 0.089   13.2486 11.5232 9.0715
 47   3  0.837 0.465 0.402 -0.297 -0.417   12.0955 10.5635 8.4486
 48   3  1.083 0.746 0.329 -0.505 -0.745   12.2744 10.7846 8.7782
 49   3  0.637 0.281 0.388 -0.107 -0.207   12.3998 10.8142 8.6319
 50   3  0.382 -0.105 0.590 0.037 0.451   14.4105 12.7088 10.4538
 51   3  0.954 1.078 0.899 -0.453 -0.456   12.0200 10.5585 8.5127
 52   3  1.223 1.457 0.508 -0.689 -0.783   12.5244 11.0160 8.9523
 53   3  1.237 1.544 0.766 -0.724 -0.760   12.6429 11.1472 9.1197
 54   3  1.229 0.732 0.550 -0.684 -0.812   12.6940 11.2212 9.1163
 55   3  0.544 -0.517 0.848 -0.080 0.035   13.0931 11.4201 9.0677
 56   3  0.667 -1.191 1.686 -1.023 1.685   16.8366 15.0181 12.3119
 57   3  1.075 0.840 0.308 -0.520 -0.673   12.1373 10.6628 8.6075
 58   3  1.058 1.067 -0.076 -0.417 -0.852   12.1217 10.5853 8.5378
 59   3  0.504 -0.271 0.732 -0.064 0.199   13.2556 11.6411 9.3454
 60   3  1.670 3.144 0.561 -1.106 -1.287   15.2735 13.4587 11.1481
 61   3  1.195 1.368 0.962 -0.686 -0.712   12.5299 11.0374 8.9840
 62   3  0.641 0.209 0.579 -0.139 -0.144   12.4630 10.8681 8.6571
 63   3  0.746 1.341 0.036 -0.221 -0.289   12.4259 10.8618 8.8259
 64   3  0.902 0.747 0.240 -0.337 -0.531   12.0553 10.5533 8.5331
 65   3  0.213 0.897 -0.417 0.392 0.096   14.7112 12.9945 10.6893
 66   3  1.177 1.177 0.066 -0.568 -0.892   12.5129 10.9693 8.9049
 67   3  0.781 -2.594 2.947 -0.723 0.552   16.5040 14.3117 10.6274
 68   3  0.345 0.259 0.407 0.151 0.164   13.8077 12.1843 10.0421
 69   3  0.987 -1.534 1.983 -0.906 0.963   14.8690 12.9735 9.9548
 70   3  1.035 0.921 0.952 -0.531 -0.543   12.1185 10.6110 8.5251
 71   3  0.878 0.282 1.039 -0.423 -0.310   12.0409 10.5072 8.3339
 72   3  1.088 0.982 0.794 -0.567 -0.628   12.2344 10.7305 8.6435
 73   3  0.877 0.940 -0.011 -0.374 -0.381   12.1704 10.6660 8.6874
 74   3  1.566 2.064 1.223 -1.053 -1.089   14.5513 12.9147 10.6195
 75   3  0.878 0.829 -0.617 -0.384 -0.368   12.1905 10.7052 8.7599
 76   3  0.348 -0.056 0.532 0.137 0.180   13.8052 12.1487 9.9479
 77   3  1.216 1.398 0.664 -0.688 -0.765   12.4626 10.9619 8.9317
 78   3  1.214 0.084 1.022 -0.699 -0.743   13.2338 11.6735 9.3670
 79   3  0.572 0.948 0.026 -0.056 -0.097   12.9902 11.4077 9.3031
 80   3  1.372 1.978 0.423 -0.829 -0.943   13.2602 11.6423 9.5550
 81   3  1.014 0.876 0.175 -0.431 -0.679   12.0671 10.5564 8.5168
 82   3  1.076 0.613 0.455 -0.524 -0.678   12.3276 10.8087 8.7013
 83   3  0.903 0.348 0.489 -0.358 -0.499   12.0078 10.5070 8.4129
 84   3  1.842 3.129 0.055 -1.271 -1.460   16.2188 14.3642 11.9751
 85   3  0.747 0.558 0.665 -0.241 -0.259   12.1249 10.5885 8.4675
 86   3  1.573 1.539 -0.609 -1.075 -1.070   13.8818 12.2505 10.0957
 87   3  0.552 0.554 0.562 -0.053 -0.052   12.8626 11.2488 9.0619
 88   3  0.986 -0.502 1.000 -0.488 -0.484   12.7806 11.1922 8.8525
 89   3  1.288 0.958 0.218 -0.682 -0.995   13.0042 11.4754 9.3489
 90   3  0.349 -0.831 1.173 0.045 0.357   14.4248 12.6797 10.2377
 91   3  0.427 -0.174 0.582 0.055 0.110   13.3726 11.7689 9.5204
 92   3  1.363 0.653 1.039 -0.846 -0.895   13.5609 12.0808 9.8397
 93   3  0.801 1.013 0.040 -0.292 -0.316   12.2354 10.7456 8.7884
 94   3  1.962 2.300 0.564 -1.362 -1.651   17.4389 15.6150 13.0357
 95   3  0.762 -0.527 0.900 -0.276 -0.233   12.6391 11.0536 8.7102
 96   3  0.854 0.558 0.459 -0.323 -0.413   12.1006 10.5887 8.5015
 97   3  1.217 1.105 0.560 -0.722 -0.707   12.4330 10.9881 8.9634
 98   3  0.907 -0.131 0.755 -0.390 -0.444   12.2351 10.7244 8.5527
 99   3  1.375 0.602 1.399 -0.879 -0.868   13.9664 12.4438 10.1550
100   3  1.588 2.078 -0.032 -0.960 -1.329   14.6973 12.9598 10.6807
---------------------------------------------------------------
AVG   3  0.897 0.600 0.602 -0.410 -0.341   13.3610 11.7489 9.5203
MIN   3  -0.171 -2.594 -0.881 -1.362 -1.651   12.0078 10.5070 8.3339
MAX   3  1.962 3.144 2.947 0.691 1.685   18.0811 16.4793 14.6222

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1  10  0.969 0.860 0.377 -0.424 -0.553   12.0556 10.5875 8.5525
  2  10  0.993 1.088 0.605 -0.475 -0.523   11.9478 10.4044 8.3091
  3  10  0.960 0.765 0.834 -0.454 -0.472   12.1396 10.6714 8.5775
  4  10  0.858 0.398 0.399 -0.304 -0.475   11.5478 10.0303 7.9091
  5  10  0.966 1.361 0.802 -0.459 -0.478   12.0485 10.5774 8.5332
  6  10  0.862 0.693 0.214 -0.289 -0.514   12.0729 10.5351 8.4325
  7  10  0.750 0.046 0.643 -0.242 -0.266   12.1698 10.6455 8.6082
  8  10  0.970 0.679 0.242 -0.390 -0.629   12.0282 10.5626 8.4754
  9  10  0.787 1.058 0.529 -0.281 -0.299   11.8945 10.4134 8.4305
 10  10  1.276 0.982 0.812 -0.744 -0.837   12.8463 11.3542 9.2940
 11  10  0.679 0.483 0.527 -0.172 -0.193   12.6250 10.9905 8.7752
 12  10  1.200 1.513 0.077 -0.609 -0.864   12.6921 11.1259 9.1246
 13  10  1.057 1.667 0.628 -0.533 -0.599   12.2731 10.7282 8.7398
 14  10  0.632 0.019 0.539 -0.121 -0.159   12.5169 10.9351 8.7105
 15  10  0.949 0.965 0.765 -0.438 -0.470   11.9544 10.4935 8.5887
 16  10  0.978 0.431 0.890 -0.477 -0.480   11.9447 10.5130 8.5073
 17  10  0.692 0.508 0.319 -0.154 -0.273   12.2401 10.7418 8.5942
 18  10  1.386 2.194 0.503 -0.845 -0.956   13.1046 11.4504 9.3243
 19  10  0.688 -0.447 0.859 -0.212 -0.129   12.3772 10.8369 8.5197
 20  10  1.131 1.771 0.321 -0.586 -0.708   12.4270 10.8831 8.8949
 21  10  1.110 1.058 0.161 -0.532 -0.753   12.1553 10.6575 8.6604
 22  10  0.593 -0.265 0.707 -0.109 -0.054   12.9299 11.3086 9.0233
 23  10  0.847 0.666 0.330 -0.299 -0.442   11.9193 10.4349 8.4777
 24  10  1.013 0.479 0.614 -0.483 -0.572   12.0473 10.6809 8.6349
 25  10  0.516 0.252 0.553 -0.021 -0.006   12.8343 11.1602 8.9022
 26  10  1.087 1.259 1.057 -0.588 -0.586   12.2122 10.6997 8.6430
 27  10  1.037 0.996 0.200 -0.460 -0.686   11.9221 10.4659 8.4860
 28  10  0.734 -0.040 0.655 -0.228 -0.248   12.3415 10.8871 8.7474
 29  10  1.226 1.487 0.719 -0.695 -0.783   12.4239 10.9258 8.8743
 30  10  1.314 1.915 0.742 -0.795 -0.847   12.9119 11.2976 9.1851
 31  10  0.576 -0.162 0.624 -0.081 -0.064   12.5864 11.0371 8.8094
 32  10  0.990 1.281 0.486 -0.456 -0.552   12.1337 10.5901 8.5641
 33  10  1.024 0.543 0.505 -0.476 -0.620   12.0317 10.5418 8.5350
 34  10  0.796 0.684 0.831 -0.302 -0.285   11.9056 10.3620 8.2209
 35  10  0.998 1.377 0.619 -0.489 -0.514   12.2355 10.6914 8.6769
 36  10  0.663 0.655 0.530 -0.153 -0.182   11.8497 10.4034 8.3444
 37  10  1.013 0.908 0.487 -0.478 -0.579   11.9060 10.3979 8.4288
 38  10  0.993 1.265 0.488 -0.483 -0.510   11.9139 10.4715 8.5753
 39  10  0.711 1.113 0.546 -0.203 -0.224   11.8717 10.4795 8.4039
 40  10  0.599 0.128 0.511 -0.092 -0.112   12.3366 10.7828 8.5935
 41  10  0.879 1.340 0.774 -0.375 -0.387   12.2168 10.6871 8.6685
 42  10  0.470 -0.063 0.517 0.026 0.041   13.2466 11.5830 9.4737
