  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  0.964 0.557 1.016 -0.472 -0.450   11.5002 10.0800 7.8311
  2   1  0.705 -1.466 1.959 -1.013 1.693   15.7400 13.9461 10.9276
  3   1  0.424 -0.277 0.613 0.058 0.113   12.0659 10.5967 8.3930
  4   1  1.189 0.799 1.042 -0.682 -0.701   12.3182 10.8946 8.6990
  5   1  1.269 1.757 0.203 -0.709 -0.875   12.6171 11.0706 8.9578
  6   1  0.424 -0.277 0.613 0.058 0.113   12.0659 10.5967 8.3930
  7   1  -0.194 1.158 -0.661 1.083 -0.201   14.3190 12.7909 10.5420
  8   1  1.748 -2.938 3.386 -1.992 1.217   17.3961 15.0145 10.5428
  9   1  0.740 -1.104 1.540 -0.444 0.242   12.6410 11.0285 8.3215
 10   1  1.668 4.521 -1.595 -0.939 -1.564   16.3077 14.2221 11.7463
 11   1  0.539 0.711 0.135 -0.028 -0.055   11.7369 10.2775 8.1313
 12   1  0.876 0.335 0.581 -0.352 -0.422   11.3371 9.9101 7.6449
 13   1  1.668 3.411 0.219 -1.092 -1.308   15.5043 13.6704 11.2966
 14   1  0.944 -0.965 1.457 -0.775 1.309   13.6377 11.9966 9.3023
 15   1  1.928 1.218 1.640 -1.417 -1.449   18.2954 16.6443 14.1814
 16   1  0.635 1.149 -0.676 -0.052 -0.264   11.8559 10.3465 8.1935
 17   1  0.990 -0.114 0.817 -0.474 -0.522   11.8914 10.4589 8.1197
 18   1  0.795 0.904 0.340 -0.292 -0.300   11.2836 9.8377 7.6925
 19   1  -0.166 -0.807 1.592 0.589 0.777   16.6297 15.1221 12.9637
 20   1  1.610 0.788 1.332 -1.095 -1.138   15.4210 13.9365 11.6503
 21   1  1.307 1.288 0.667 -0.761 -0.893   12.7654 11.2855 9.1181
 22   1  -0.025 0.020 0.194 0.508 0.558   14.8619 13.4689 11.6010
 23   1  0.001 -0.012 0.438 0.498 0.500   14.5572 13.1245 11.1958
 24   1  -0.171 -0.405 1.067 0.657 0.693   16.1926 14.7492 12.8084
 25   1  -0.559 -1.517 2.347 0.889 1.278   22.0187 20.3862 18.0513
 26   1  2.380 3.064 1.284 -1.847 -1.935   20.8801 18.9835 16.2293
 27   1  0.797 0.318 0.391 -0.243 -0.420   11.2351 9.8120 7.5998
 28   1  0.272 -1.278 1.784 -0.778 1.526   16.5491 14.8406 12.1160
 29   1  1.269 1.757 0.203 -0.709 -0.875   12.6171 11.0706 8.9578
 30   1  1.928 1.218 1.640 -1.417 -1.449   18.2954 16.6443 14.1814
 31   1  1.307 1.288 0.667 -0.761 -0.893   12.7654 11.2855 9.1181
 32   1  0.964 0.557 1.016 -0.472 -0.450   11.5002 10.0800 7.8311
 33   1  1.238 1.654 0.296 -0.720 -0.767   12.3120 10.8038 8.7097
 34   1  0.670 -0.797 1.084 -0.227 -0.030   12.0262 10.5065 7.9927
 35   1  2.711 -3.942 4.432 -3.220 1.955   20.8991 17.8172 11.9384
 36   1  0.466 0.626 0.409 0.036 0.030   11.8732 10.4144 8.2859
 37   1  1.668 3.411 0.219 -1.092 -1.308   15.5043 13.6704 11.2966
 38   1  0.484 0.267 0.423 0.018 0.013   11.6717 10.2892 8.1709
 39   1  0.293 2.435 -2.085 0.882 -0.648   13.9145 12.1865 9.6234
 40   1  1.748 -2.938 3.386 -1.992 1.217   17.3961 15.0145 10.5428
 41   1  0.305 -0.476 0.977 -0.329 0.829   13.7218 12.2129 9.9914
 42   1  0.797 0.318 0.391 -0.243 -0.420   11.2351 9.8120 7.5998
 43   1  0.782 0.656 0.310 -0.284 -0.278   11.2613 9.8166 7.6333
 44   1  -0.519 0.301 -0.611 1.018 1.020   19.6101 18.2666 16.6279
 45   1  1.115 1.416 -0.854 -0.568 -0.681   11.9430 10.4200 8.3885
 46   1  2.711 -3.942 4.432 -3.220 1.955   20.8991 17.8172 11.9384
 47   1  0.001 -0.012 0.438 0.498 0.500   14.5572 13.1245 11.1958
 48   1  -0.120 -0.696 1.259 0.480 0.813   16.3664 14.8930 12.8074
 49   1  0.051 1.690 -1.205 0.947 -0.550   13.4241 11.8174 9.4343
 50   1  0.484 0.267 0.423 0.018 0.013   11.6717 10.2892 8.1709
 51   1  1.529 1.961 1.024 -1.004 -1.072   14.2691 12.6832 10.3989
 52   1  2.034 2.580 1.160 -1.503 -1.589   18.3298 16.5490 14.0067
 53   1  0.582 0.493 0.270 -0.049 -0.156   11.4727 10.0209 7.8534
 54   1  0.876 0.335 0.581 -0.352 -0.422   11.3371 9.9101 7.6449
 55   1  2.711 -3.942 4.432 -3.220 1.955   20.8991 17.8172 11.9384
 56   1  1.305 1.823 -0.907 -0.772 -0.858   12.7572 11.1570 9.1112
 57   1  0.782 0.656 0.310 -0.284 -0.278   11.2613 9.8166 7.6333
 58   1  0.116 0.608 -0.035 0.406 0.334   13.7170 12.2579 10.2208
 59   1  1.668 4.521 -1.595 -0.939 -1.564   16.3077 14.2221 11.7463
 60   1  2.102 3.512 -0.833 -1.344 -2.064   18.5967 16.5728 13.8381
 61   1  0.797 0.318 0.391 -0.243 -0.420   11.2351 9.8120 7.5998
 62   1  -1.418 -0.018 -0.582 1.925 1.896   29.9434 28.6532 27.3213
 63   1  2.102 3.512 -0.833 -1.344 -2.064   18.5967 16.5728 13.8381
 64   1  -0.080 -0.421 0.725 0.546 0.631   15.4517 14.0080 12.0771
 65   1  -0.166 -0.807 1.592 0.589 0.777   16.6297 15.1221 12.9637
 66   1  1.218 2.449 0.216 -0.665 -0.812   12.6915 11.0945 9.0455
 67   1  1.176 1.287 0.932 -0.666 -0.695   12.0727 10.6243 8.4824
 68   1  0.680 -0.702 0.981 -0.213 -0.111   11.8109 10.3374 7.8854
 69   1  0.635 1.149 -0.676 -0.052 -0.264   11.8559 10.3465 8.1935
 70   1  0.885 -1.101 1.543 -0.489 -0.182   12.7773 11.1988 8.4721
 71   1  1.305 1.823 -0.907 -0.772 -0.858   12.7572 11.1570 9.1112
 72   1  1.218 2.449 0.216 -0.665 -0.812   12.6915 11.0945 9.0455
 73   1  -0.025 0.020 0.194 0.508 0.558   14.8619 13.4689 11.6010
 74   1  0.668 -0.659 1.068 -0.228 -0.042   11.8912 10.3959 7.9204
 75   1  0.635 1.149 -0.676 -0.052 -0.264   11.8559 10.3465 8.1935
 76   1  1.087 1.149 0.610 -0.570 -0.616   11.6888 10.2382 8.0914
 77   1  0.539 0.711 0.135 -0.028 -0.055   11.7369 10.2775 8.1313
 78   1  0.305 0.771 -0.276 0.259 0.083   12.7022 11.2091 9.0788
