  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  -0.943 -0.852 0.295 1.442 1.442   16.2364 14.6968 12.8606
  2   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
  3   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
  4   1  -1.541 -1.408 -1.385 2.043 2.036   23.0638 21.5109 20.0065
  5   1  0.658 0.702 0.688 -0.160 -0.157   13.6485 12.0456 10.2957
  6   1  0.026 -0.515 1.161 0.358 0.611   10.9774 9.2474 6.9614
  7   1  -0.648 -0.302 -0.107 1.112 1.217   13.7132 12.1015 10.2169
  8   1  -0.163 -1.911 2.491 -0.330 1.671   14.1672 12.0159 8.3741
  9   1  -0.466 -0.996 1.720 0.900 1.063   12.8908 11.0890 8.5723
 10   1  0.631 0.985 -0.653 -0.114 -0.159   13.7033 11.9864 10.1643
 11   1  0.410 0.901 -0.404 0.289 -0.197   13.0757 11.3373 9.3540
 12   1  -0.648 -0.302 -0.107 1.112 1.217   13.7132 12.1015 10.2169
 13   1  0.660 0.088 0.599 -0.156 -0.168   13.6686 12.0902 10.3033
 14   1  -0.314 -0.837 1.559 0.706 0.940   11.8796 10.0841 7.6259
 15   1  0.096 0.713 -0.160 0.444 0.319   11.8080 10.0400 7.7788
 16   1  -0.782 -0.746 -0.551 1.284 1.279   14.8611 13.2888 11.4625
 17   1  -0.494 2.158 -1.841 1.327 0.416   14.2581 12.1636 9.0389
 18   1  -0.250 -0.434 0.026 0.740 0.765   11.4446 9.7158 7.5809
 19   1  0.999 -2.174 2.675 -2.022 2.551   14.9164 12.5040 8.0584
 20   1  0.781 0.331 0.862 -0.287 -0.269   14.6386 13.0635 11.3633
 21   1  0.814 -1.947 2.475 -1.473 1.665   14.3745 12.1997 8.4744
 22   1  0.019 -0.111 0.696 0.472 0.494   11.0110 9.2856 7.1009
 23   1  -0.102 -0.032 0.352 0.606 0.595   11.1378 9.3869 7.2011
 24   1  -0.419 -0.616 1.265 0.892 0.955   12.1251 10.3970 8.1546
 25   1  0.660 0.088 0.599 -0.156 -0.168   13.6686 12.0902 10.3033
 26   1  -0.375 -0.142 0.320 0.895 0.844   11.8339 10.1130 8.0271
 27   1  0.658 0.702 0.688 -0.160 -0.157   13.6485 12.0456 10.2957
 28   1  -0.282 -1.037 1.585 0.663 0.959   12.0667 10.2349 7.6317
 29   1  -0.434 1.273 -0.480 0.936 0.932   12.9853 11.1388 8.6820
 30   1  0.026 -0.515 1.161 0.358 0.611   10.9774 9.2474 6.9614
 31   1  1.117 1.875 -0.236 -0.552 -0.723   17.7825 15.8701 14.1851
 32   1  -1.059 -0.707 0.311 1.512 1.628   17.3328 15.8556 14.2068
 33   1  0.999 -2.174 2.675 -2.022 2.551   14.9164 12.5040 8.0584
 34   1  0.814 -1.947 2.475 -1.473 1.665   14.3745 12.1997 8.4744
 35   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
 36   1  -0.648 -0.302 -0.107 1.112 1.217   13.7132 12.1015 10.2169
 37   1  0.429 0.411 0.436 0.071 0.072   12.3161 10.6821 8.7241
 38   1  -0.073 0.555 -0.683 0.597 0.531   11.7727 9.9715 7.6394
 39   1  -0.031 -0.153 0.924 0.518 0.549   10.9653 9.2301 7.0303
 40   1  0.395 -0.847 1.353 -0.569 1.098   11.6603 9.8493 7.2772
 41   1  -0.378 -1.083 1.603 0.778 1.033   12.5553 10.7295 8.1456
 42   1  -0.884 -1.391 0.773 1.224 1.704   17.2237 15.5633 13.5281
 43   1  0.096 0.713 -0.160 0.444 0.319   11.8080 10.0400 7.7788
 44   1  -0.375 -0.142 0.320 0.895 0.844   11.8339 10.1130 8.0271
 45   1  0.093 0.940 -0.293 0.448 0.327   12.0303 10.2344 7.9423
 46   1  -0.976 -0.283 -1.890 1.504 1.430   16.4588 14.9248 13.1530
 47   1  1.964 -2.842 3.340 -2.350 2.545   18.2907 15.5616 10.7483
 48   1  -0.192 -0.042 0.407 0.710 0.667   11.2174 9.4755 7.3255
 49   1  0.410 0.901 -0.404 0.289 -0.197   13.0757 11.3373 9.3540
 50   1  0.252 -0.537 1.055 -0.050 0.692   11.2579 9.5239 7.2275
 51   1  0.568 0.697 0.403 -0.060 -0.080   13.1391 11.5012 9.6608
 52   1  -0.394 -0.746 0.045 0.879 0.919   12.0828 10.3727 8.2693
 53   1  -0.378 -1.083 1.603 0.778 1.033   12.5553 10.7295 8.1456
 54   1  -0.338 -0.951 1.584 0.735 0.981   12.1833 10.3724 7.8360
 55   1  -0.081 -0.563 1.076 0.497 0.701   11.0979 9.3221 6.9667
 56   1  -0.333 -1.030 1.715 0.661 1.029   12.3216 10.4793 7.8508
 57   1  0.186 0.413 0.170 0.316 0.309   11.5580 9.8521 7.7160
 58   1  0.631 0.985 -0.653 -0.114 -0.159   13.7033 11.9864 10.1643
 59   1  1.964 -2.842 3.340 -2.350 2.545   18.2907 15.5616 10.7483
 60   1  0.093 0.940 -0.293 0.448 0.327   12.0303 10.2344 7.9423
 61   1  0.854 -0.372 0.870 -0.363 0.798   12.2029 10.5686 8.4652
 62   1  0.906 -2.588 3.105 -1.719 2.351   15.7192 13.1402 8.3143
 63   1  0.999 -2.174 2.675 -2.022 2.551   14.9164 12.5040 8.0584
 64   1  0.859 -1.559 2.106 -1.018 0.783   14.9848 13.0692 10.2842
 65   1  0.096 0.713 -0.160 0.444 0.319   11.8080 10.0400 7.7788
 66   1  -0.071 1.419 -0.930 0.966 -0.401   13.3130 11.4123 9.0028
 67   1  0.314 -0.487 1.005 0.096 0.329   11.6167 9.9570 7.8094
 68   1  -0.071 1.419 -0.930 0.966 -0.401   13.3130 11.4123 9.0028
 69   1  -0.394 -0.746 0.045 0.879 0.919   12.0828 10.3727 8.2693
 70   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
 71   1  -0.618 -1.192 1.939 1.022 1.241   14.1669 12.3589 9.8126
 72   1  -0.333 -1.030 1.715 0.661 1.029   12.3216 10.4793 7.8508
 73   1  -0.033 -0.297 1.057 0.508 0.569   10.9275 9.1829 6.9247
 74   1  -0.333 -1.030 1.715 0.661 1.029   12.3216 10.4793 7.8508
 75   1  0.234 0.005 0.489 0.260 0.277   11.4580 9.7814 7.6918
 76   1  0.252 -0.537 1.055 -0.050 0.692   11.2579 9.5239 7.2275
 77   1  0.093 0.940 -0.293 0.448 0.327   12.0303 10.2344 7.9423
 78   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
 79   1  0.302 -0.140 0.662 0.091 0.382   11.4560 9.7993 7.7017
 80   1  0.093 0.940 -0.293 0.448 0.327   12.0303 10.2344 7.9423
 81   1  0.854 -0.372 0.870 -0.363 0.798   12.2029 10.5686 8.4652
 82   1  -0.394 -0.746 0.045 0.879 0.919   12.0828 10.3727 8.2693
 83   1  0.305 1.481 -1.167 0.325 -0.014   13.3486 11.4945 9.2576
 84   1  0.658 0.702 0.688 -0.160 -0.157   13.6485 12.0456 10.2957
 85   1  -0.375 -0.142 0.320 0.895 0.844   11.8339 10.1130 8.0271
 86   1  -0.942 -2.563 3.327 1.174 1.833   19.7204 17.4655 14.2192
 87   1  0.487 0.079 0.455 0.016 0.007   12.4421 10.8663 9.0017
 88   1  0.390 -1.759 2.261 -0.841 1.443   13.1125 11.0087 7.4864
 89   1  0.130 0.403 0.110 0.371 0.369   11.4296 9.7174 7.5368
 90   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
 91   1  -0.375 -0.142 0.320 0.895 0.844   11.8339 10.1130 8.0271
 92   1  -0.618 -1.192 1.939 1.022 1.241   14.1669 12.3589 9.8126
 93   1  0.806 -0.022 0.700 -0.298 -0.321   14.9365 13.3830 11.6805
 94   1  -0.344 0.408 -0.199 0.838 0.855   12.0745 10.3169 8.1381
 95   1  -0.149 -0.356 1.103 0.628 0.679   11.0820 9.3217 7.0410
 96   1  0.968 2.995 -1.146 -0.323 -0.722   17.9305 15.7701 13.8955
 97   1  0.913 2.682 -2.709 -0.287 -0.618   17.5277 15.3212 13.3057
 98   1  -0.394 -0.746 0.045 0.879 0.919   12.0828 10.3727 8.2693
 99   1  0.333 -0.807 1.299 -0.273 1.101   11.4037 9.5899 7.0240
100   1  -0.258 -1.602 2.088 -0.010 1.743   14.2321 12.2342 9.0876
---------------------------------------------------------------
AVG   1  0.116 -0.285 0.672 0.232 0.710   13.3363 11.5351 9.1613
MIN   1  -1.541 -2.842 -2.709 -2.350 -0.723   10.9275 9.1829 6.9247
MAX   1  1.964 2.995 3.340 2.043 2.551   23.0638 21.5109 20.0065

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  -0.349 1.242 -0.692 0.869 0.812   12.7302 10.8556 8.3498
  2   3  -0.181 -0.250 0.828 0.673 0.693   11.1636 9.3989 7.1816
  3   3  0.505 0.551 0.460 -0.004 -0.009   12.7935 11.1603 9.2622
  4   3  -0.058 1.319 -0.583 0.586 0.508   12.4045 10.5430 8.0661
  5   3  0.221 -0.224 0.675 0.184 0.446   11.1517 9.4522 7.2970
  6   3  -0.156 -0.425 0.761 0.632 0.691   11.1566 9.3927 7.1441
  7   3  0.381 -0.565 1.066 -0.501 1.008   11.3875 9.6576 7.3434
  8   3  0.344 -0.243 0.743 -0.188 0.623   11.3574 9.7151 7.6147
  9   3  0.075 -0.968 1.524 0.083 0.886   11.4380 9.5815 6.8952
 10   3  0.396 -1.576 2.075 -1.139 1.703   12.8641 10.7944 7.2972
 11   3  0.855 0.441 0.403 -0.312 -0.439   15.3972 13.7848 12.1182
 12   3  -0.176 -0.320 0.228 0.667 0.690   11.1915 9.4488 7.2781
 13   3  -0.217 -0.336 0.940 0.702 0.736   11.2195 9.4363 7.1815
 14   3  -0.501 -1.182 1.967 0.904 1.134   13.3931 11.5478 8.9532
 15   3  0.518 -1.540 2.032 -0.754 1.272   12.9162 10.9367 7.7633
 16   3  0.032 0.079 0.397 0.473 0.460   11.1849 9.4523 7.2646
 17   3  0.094 -1.160 1.737 -0.026 0.971   11.8110 9.9058 7.0052
 18   3  0.228 -2.219 2.790 -0.195 1.043   13.7038 11.5206 7.6005
 19   3  0.898 0.429 0.398 -0.338 -0.534   15.8555 14.2505 12.6075
 20   3  0.153 0.257 0.188 0.365 0.325   11.3882 9.6714 7.5167
 21   3  -0.475 -1.146 1.900 0.869 1.117   13.2535 11.4134 8.7805
 22   3  -0.181 -1.499 2.072 0.514 0.953   12.4086 10.4451 7.3902
 23   3  0.472 -2.309 2.443 -0.297 0.733   14.2285 12.1182 8.5588
 24   3  -0.260 -0.325 0.862 0.752 0.772   11.3340 9.5688 7.3542
 25   3  0.545 0.058 0.521 -0.044 -0.046   12.7840 11.2491 9.4219
 26   3  -0.320 -0.010 -0.506 0.826 0.809   11.8895 10.1603 8.0765
 27   3  0.392 -0.444 0.916 0.049 0.212   11.9652 10.3932 8.3596
 28   3  0.549 0.235 0.472 -0.045 -0.058   12.9302 11.3603 9.5410
 29   3  0.089 0.577 -0.076 0.535 -0.069   12.1907 10.4218 8.2418
 30   3  -0.046 -0.226 0.335 0.533 0.567   10.8039 9.1124 6.9489
 31   3  -0.155 -0.711 0.939 0.574 0.776   11.3458 9.5368 7.1528
 32   3  0.952 -1.148 1.641 -0.950 1.575   12.6017 10.7122 7.8011
 33   3  -0.283 -0.644 1.298 0.742 0.841   11.5744 9.7989 7.4771
 34   3  -0.032 0.212 0.171 0.506 0.591   11.2752 9.4996 7.2834
 35   3  0.837 0.770 0.198 -0.268 -0.485   15.1279 13.4802 11.8448
 36   3  0.387 -0.012 0.486 0.094 0.211   11.8497 10.2144 8.1822
 37   3  0.451 -0.167 0.645 -0.013 0.308   11.9551 10.3181 8.2544
 38   3  0.295 -0.748 1.255 -0.275 0.835   11.5667 9.7759 7.3234
 39   3  -0.254 -0.417 -0.026 0.747 0.767   11.6141 9.8552 7.6995
 40   3  0.547 -0.123 0.588 -0.052 -0.034   12.8953 11.3079 9.4351
 41   3  -0.322 -1.303 0.202 0.798 0.865   12.0735 10.3195 8.0178
 42   3  0.338 -0.173 0.655 0.057 0.430   11.4779 9.8316 7.7535
 43   3  0.591 0.063 0.598 -0.093 -0.088   13.1931 11.6407 9.8278
 44   3  0.123 -2.014 2.906 0.050 0.858   13.3789 11.2575 7.5735
 45   3  -0.050 -2.148 2.887 0.104 1.179   13.9002 11.7032 7.7869
 46   3  0.411 -0.176 0.550 0.074 0.119   12.0993 10.4706 8.4498
 47   3  0.747 1.117 -0.149 -0.207 -0.308   14.5960 12.8688 11.1313
 48   3  -0.163 -1.977 2.808 0.269 1.176   13.7249 11.5792 7.8742
 49   3  1.039 1.502 -0.043 -0.495 -0.606   17.0090 15.1730 13.4995
 50   3  0.104 -0.586 0.805 0.362 0.454   11.1123 9.3911 7.1476
 51   3  0.265 0.868 -0.368 0.442 -0.173   12.5425 10.8344 8.7684
