  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  -0.101 1.313 -0.738 0.686 0.443   13.6889 10.5147 7.2840
  2   1  -0.495 2.798 -2.227 1.511 -0.150   15.6632 12.0719 7.9128
  3   1  -0.317 -0.742 1.415 0.754 0.902   14.1606 11.2675 8.3174
  4   1  -0.492 -1.208 1.015 0.932 1.088   15.4562 12.5961 9.6769
  5   1  -0.395 1.388 -0.894 1.271 -0.384   14.0035 10.8242 7.5639
  6   1  2.392 -5.773 6.693 -3.916 1.933   29.9126 24.5102 16.8244
  7   1  1.254 2.635 -2.396 -0.517 -1.089   20.3973 16.8008 14.3985
  8   1  -0.101 1.313 -0.738 0.686 0.443   13.6889 10.5147 7.2840
  9   1  -0.355 -2.231 2.829 0.369 1.566   17.9974 14.9129 11.0410
 10   1  -0.803 -0.723 0.418 1.302 1.304   16.9451 14.2343 11.8318
 11   1  -0.149 0.110 0.297 0.586 0.760   13.1880 10.1960 7.3237
 12   1  0.102 -0.040 0.605 0.361 0.436   13.2308 10.3074 7.5350
 13   1  -0.834 1.950 -1.401 1.502 0.826   15.7694 12.6118 9.1349
 14   1  0.223 -0.274 0.769 0.158 0.524   13.4715 10.5907 7.8140
 15   1  -0.242 0.079 -0.181 0.740 0.744   13.3404 10.3485 7.4943
 16   1  -0.149 0.110 0.297 0.586 0.760   13.1880 10.1960 7.3237
 17   1  0.243 1.901 -1.511 0.540 -0.200   15.1586 11.8379 8.7853
 18   1  1.619 2.677 -0.033 -1.068 -1.204   23.5063 20.1265 17.9762
 19   1  0.594 -3.098 3.087 -0.381 0.419   19.3442 16.0136 11.6501
 20   1  -0.288 -0.412 -0.207 0.779 0.803   13.5101 10.5880 7.8108
 21   1  -0.074 -0.121 -0.106 0.577 0.569   13.1232 10.1267 7.2454
 22   1  -0.886 2.617 -1.811 1.476 1.211   17.0204 13.8689 10.2460
 23   1  2.392 -5.773 6.693 -3.916 1.933   29.9126 24.5102 16.8244
 24   1  0.243 1.901 -1.511 0.540 -0.200   15.1586 11.8379 8.7853
 25   1  -0.317 -0.742 1.415 0.754 0.902   14.1606 11.2675 8.3174
 26   1  0.588 1.159 -0.264 -0.024 -0.196   15.3458 12.2771 9.8172
 27   1  0.567 0.904 -0.392 -0.025 -0.134   15.0571 12.0162 9.5398
 28   1  1.041 1.792 0.607 -0.521 -0.578   18.5167 15.4213 13.2802
 29   1  -0.511 1.067 -0.647 1.013 1.009   14.5399 11.5081 8.4816
 30   1  0.243 1.901 -1.511 0.540 -0.200   15.1586 11.8379 8.7853
 31   1  -0.318 -0.426 0.465 0.813 0.825   13.7161 10.7952 7.9763
 32   1  -0.640 0.258 -0.577 1.141 1.137   15.2653 12.3938 9.7830
 33   1  -0.411 2.859 -2.386 1.729 -0.660   16.0637 12.4249 8.4396
 34   1  -0.300 1.584 -0.798 0.845 0.709   13.9909 10.7935 7.4321
 35   1  -0.101 1.313 -0.738 0.686 0.443   13.6889 10.5147 7.2840
 36   1  -1.292 -1.394 1.231 1.785 1.803   22.4269 19.7444 17.3782
 37   1  -0.101 1.313 -0.738 0.686 0.443   13.6889 10.5147 7.2840
 38   1  0.047 0.947 -0.418 0.533 0.299   13.5330 10.4468 7.4373
 39   1  2.487 -3.667 4.142 -2.978 2.592   24.3066 20.1374 14.3769
 40   1  0.861 -0.448 0.810 -0.356 -0.370   17.7026 14.9541 12.6300
 41   1  -0.492 -1.208 1.015 0.932 1.088   15.4562 12.5961 9.6769
 42   1  -0.035 0.506 -0.184 0.543 0.518   13.2080 10.1674 7.2153
 43   1  -0.387 -1.302 1.927 0.296 1.197   15.3244 12.4101 9.1722
 44   1  -0.035 0.506 -0.184 0.543 0.518   13.2080 10.1674 7.2153
 45   1  -0.511 1.067 -0.647 1.013 1.009   14.5399 11.5081 8.4816
 46   1  -2.307 2.589 -2.133 2.769 2.943   30.4412 28.0681 26.5342
 47   1  0.235 -2.563 3.324 -0.221 1.024   17.6232 14.3605 9.8797
 48   1  -0.284 -1.031 0.982 0.711 0.906   14.2577 11.3503 8.3652
 49   1  0.277 0.898 -0.431 0.283 0.120   14.0267 10.9667 8.1796
 50   1  -0.410 2.060 -1.445 1.104 0.506   14.5783 11.2571 7.5683
