  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  0.000 1.000 0.000 0.000 0.000   15.0374 13.7679 11.5944
  2   1  0.000 1.000 0.000 0.000 0.000   15.1091 13.8449 11.6730
  3   1  0.000 0.000 1.000 0.000 0.000   15.1273 13.8120 11.5294
  4   1  0.000 1.000 0.000 0.000 0.000   15.1756 13.8983 11.7122
  5   1  0.000 1.000 0.000 0.000 0.000   15.0374 13.7679 11.5944
  6   1  0.000 1.000 0.000 0.000 0.000   15.1809 13.9136 11.8017
  7   1  1.000 0.000 0.000 0.000 0.000   13.0925 11.8917 9.7182
  8   1  0.000 0.000 1.000 0.000 0.000   15.1401 13.8273 11.5650
  9   1  0.000 1.000 0.000 0.000 0.000   15.1918 13.9118 11.7238
 10   1  0.000 1.000 0.000 0.000 0.000   15.0398 13.7640 11.5865
 11   1  0.000 1.000 0.000 0.000 0.000   15.1721 13.9101 11.7280
 12   1  0.000 0.000 0.000 1.000 0.000   16.7039 15.4280 13.3811
 13   1  1.000 0.000 0.000 0.000 0.000   12.9583 11.7544 9.5773
 14   1  0.000 1.000 0.000 0.000 0.000   15.1091 13.8449 11.6730
 15   1  0.000 0.000 0.000 1.000 0.000   16.7944 15.5287 13.4823
 16   1  0.000 0.000 0.000 1.000 0.000   16.7995 15.5123 13.4593
 17   1  1.000 0.000 0.000 0.000 0.000   12.9787 11.7775 9.6087
 18   1  1.000 0.000 0.000 0.000 0.000   13.1013 11.8989 9.7284
 19   1  0.000 1.000 0.000 0.000 0.000   15.1600 13.8834 11.7154
 20   1  1.000 0.000 0.000 0.000 0.000   12.9365 11.7332 9.5587
 21   1  0.000 0.000 0.000 1.000 0.000   16.7807 15.4991 13.4558
 22   1  0.000 1.000 0.000 0.000 0.000   15.0526 13.7783 11.5904
 23   1  1.000 0.000 0.000 0.000 0.000   12.9154 11.7330 9.5687
 24   1  0.000 1.000 0.000 0.000 0.000   15.2174 13.9627 11.7997
 25   1  1.000 0.000 0.000 0.000 0.000   13.0557 11.8539 9.6803
 26   1  1.000 0.000 0.000 0.000 0.000   12.9211 11.7271 9.5536
 27   1  0.000 0.000 0.000 1.000 0.000   16.6785 15.4331 13.3984
 28   1  1.000 0.000 0.000 0.000 0.000   13.0346 11.8336 9.6568
 29   1  0.000 0.000 1.000 0.000 0.000   15.0867 13.7716 11.5167
 30   1  1.000 0.000 0.000 0.000 0.000   12.9547 11.7512 9.5733
 31   1  0.000 1.000 0.000 0.000 0.000   15.1727 13.8992 11.7298
 32   1  1.000 0.000 0.000 0.000 0.000   12.9709 11.7677 9.5959
 33   1  0.000 0.000 1.000 0.000 0.000   15.0332 13.7163 11.4427
 34   1  1.000 0.000 0.000 0.000 0.000   13.0906 11.8985 9.7384
 35   1  1.000 0.000 0.000 0.000 0.000   13.0387 11.8573 9.7108
 36   1  1.000 0.000 0.000 0.000 0.000   12.9882 11.7918 9.6643
 37   1  1.000 0.000 0.000 0.000 0.000   12.9652 11.7628 9.5882
 38   1  0.000 0.000 0.000 1.000 0.000   16.8160 15.5397 13.5190
 39   1  1.000 0.000 0.000 0.000 0.000   13.0591 11.8625 9.7181
 40   1  0.000 0.000 1.000 0.000 0.000   15.0204 13.6976 11.4142
 41   1  1.000 0.000 0.000 0.000 0.000   13.0925 11.8917 9.7182
 42   1  1.000 0.000 0.000 0.000 0.000   12.9003 11.6984 9.5324
 43   1  0.000 1.000 0.000 0.000 0.000   15.1710 13.9265 11.8031
 44   1  0.000 0.000 0.000 1.000 0.000   16.8707 15.5832 13.5317
 45   1  0.000 0.000 1.000 0.000 0.000   15.0873 13.7788 11.5053
 46   1  0.000 1.000 0.000 0.000 0.000   15.2307 13.9547 11.7739
 47   1  1.000 0.000 0.000 0.000 0.000   13.0557 11.8539 9.6803
 48   1  0.000 0.000 0.000 1.000 0.000   16.7619 15.4926 13.4558
 49   1  1.000 0.000 0.000 0.000 0.000   13.0426 11.8448 9.6901
 50   1  1.000 0.000 0.000 0.000 0.000   12.9810 11.7974 9.6773
 51   1  0.000 0.000 0.000 1.000 0.000   16.8319 15.5508 13.4980
 52   1  1.000 0.000 0.000 0.000 0.000   13.0118 11.8125 9.6375
 53   1  0.000 0.000 0.000 1.000 0.000   16.7837 15.5020 13.4614
 54   1  1.000 0.000 0.000 0.000 0.000   13.0788 11.8785 9.7217
 55   1  0.000 0.000 0.000 0.000 1.000   19.0367 17.8308 16.0352
 56   1  0.000 0.000 1.000 0.000 0.000   14.9607 13.6363 11.3519
 57   1  1.000 0.000 0.000 0.000 0.000   13.0441 11.8447 9.6751
 58   1  0.000 1.000 0.000 0.000 0.000   15.2601 13.9812 11.8064
 59   1  1.000 0.000 0.000 0.000 0.000   12.9709 11.7677 9.5959
 60   1  1.000 0.000 0.000 0.000 0.000   13.0482 11.8532 9.6912
 61   1  0.000 0.000 0.000 1.000 0.000   16.8259 15.5403 13.4865
 62   1  1.000 0.000 0.000 0.000 0.000   13.0402 11.8408 9.6700
 63   1  0.000 0.000 1.000 0.000 0.000   15.0245 13.7006 11.4171
 64   1  0.000 1.000 0.000 0.000 0.000   15.1670 13.9031 11.7449
 65   1  0.000 0.000 0.000 1.000 0.000   16.7844 15.5052 13.4666
 66   1  0.000 0.000 1.000 0.000 0.000   15.0533 13.7409 11.4858
 67   1  0.000 0.000 1.000 0.000 0.000   14.9566 13.6781 11.4383
 68   1  0.000 1.000 0.000 0.000 0.000   15.1600 13.8834 11.7154
 69   1  0.000 0.000 0.000 1.000 0.000   16.6563 15.3695 13.3197
 70   1  0.000 0.000 0.000 1.000 0.000   16.7709 15.4949 13.4683
 71   1  0.000 0.000 0.000 1.000 0.000   16.7460 15.4692 13.4430
 72   1  0.000 1.000 0.000 0.000 0.000   15.1180 13.8453 11.6643
 73   1  1.000 0.000 0.000 0.000 0.000   13.0140 11.8180 9.6536
 74   1  0.000 1.000 0.000 0.000 0.000   15.2060 13.9340 11.7994
 75   1  0.000 1.000 0.000 0.000 0.000   15.1288 13.8525 11.6783
 76   1  1.000 0.000 0.000 0.000 0.000   13.0506 11.8623 9.7146
 77   1  1.000 0.000 0.000 0.000 0.000   13.0390 11.8426 9.6769
 78   1  0.000 0.000 0.000 1.000 0.000   16.7302 15.4483 13.4047
 79   1  0.000 0.000 0.000 1.000 0.000   16.7935 15.5123 13.4766
 80   1  1.000 0.000 0.000 0.000 0.000   12.9684 11.8252 9.6666
 81   1  0.000 0.000 0.000 0.000 1.000   18.9870 17.7622 15.9449
 82   1  0.000 1.000 0.000 0.000 0.000   15.2147 13.9402 11.7573
 83   1  0.000 0.000 0.000 1.000 0.000   16.6924 15.4108 13.3688
 84   1  0.000 1.000 0.000 0.000 0.000   15.1554 13.8798 11.6994
 85   1  1.000 0.000 0.000 0.000 0.000   13.0268 11.8314 9.7044
 86   1  0.000 1.000 0.000 0.000 0.000   15.2398 13.9593 11.7715
 87   1  1.000 0.000 0.000 0.000 0.000   13.0231 11.8201 9.6468
 88   1  1.000 0.000 0.000 0.000 0.000   12.9882 11.7918 9.6643
 89   1  0.000 0.000 0.000 0.000 1.000   18.9062 17.6901 15.8854
 90   1  0.000 0.000 1.000 0.000 0.000   15.1509 13.8336 11.5929
 91   1  0.000 1.000 0.000 0.000 0.000   15.1536 13.9026 11.7824
 92   1  1.000 0.000 0.000 0.000 0.000   13.0111 11.8116 9.6461
 93   1  1.000 0.000 0.000 0.000 0.000   13.0837 11.8872 9.7197
 94   1  0.000 1.000 0.000 0.000 0.000   15.0920 13.8120 11.6255
 95   1  0.000 0.000 0.000 1.000 0.000   16.6857 15.3974 13.3414
 96   1  0.000 0.000 0.000 1.000 0.000   16.7919 15.5091 13.4584
 97   1  0.000 0.000 0.000 1.000 0.000   16.8813 15.6168 13.5862
 98   1  0.000 0.000 1.000 0.000 0.000   15.0867 13.7716 11.5167
 99   1  0.000 0.000 0.000 1.000 0.000   16.7600 15.4900 13.5377
100   1  1.000 0.000 0.000 0.000 0.000   13.0591 11.8625 9.7181
---------------------------------------------------------------
AVG   1  0.370 0.260 0.120 0.220 0.030   14.8214 13.5733 11.4353
MIN   1  0.000 0.000 0.000 0.000 0.000   12.9003 11.6984 9.5324
MAX   1  1.000 1.000 1.000 1.000 1.000   19.0367 17.8308 16.0352

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  0.000 0.000 0.000 1.000 0.000   16.7170 15.4164 13.3800
  2   3  0.333 0.000 0.333 0.333 0.000   14.6701 13.3990 11.2195
  3   3  0.333 0.333 0.000 0.333 0.000   14.7408 13.4721 11.2820
  4   3  0.333 0.333 0.000 0.333 0.000   14.7188 13.4381 11.2452
  5   3  0.333 0.000 0.333 0.333 0.000   14.7981 13.5815 11.3971
  6   3  0.333 0.000 0.000 0.667 0.000   15.3562 14.0467 11.8115
  7   3  0.667 0.000 0.333 0.000 0.000   13.3496 12.1534 9.9948
  8   3  0.333 0.333 0.000 0.333 0.000   14.6174 13.3844 11.2595
  9   3  0.333 0.000 0.333 0.000 0.333   15.2816 13.9729 11.7434
 10   3  0.333 0.000 0.000 0.667 0.000   14.9130 13.6600 11.5132
 11   3  0.333 0.333 0.000 0.333 0.000   14.7108 13.4537 11.2937
 12   3  0.667 0.000 0.000 0.333 0.000   14.0873 12.8605 10.6956
 13   3  0.333 0.333 0.000 0.333 0.000   14.9101 13.6516 11.4606
 14   3  0.333 0.000 0.667 0.000 0.000   14.3645 13.0753 10.8244
 15   3  0.333 0.000 0.667 0.000 0.000   14.2037 12.9096 10.6354
 16   3  0.000 0.667 0.333 0.000 0.000   15.1284 13.8504 11.7215
 17   3  0.667 0.333 0.000 0.000 0.000   13.5332 12.3668 10.3148
 18   3  1.000 0.000 0.000 0.000 0.000   12.9675 11.7771 9.5942
 19   3  0.333 0.333 0.000 0.333 0.000   14.7744 13.4991 11.3010
 20   3  0.333 0.333 0.333 0.000 0.000   14.3204 13.0643 10.8822
 21   3  0.000 0.667 0.000 0.333 0.000   15.6964 14.3950 12.1932
 22   3  0.333 0.000 0.667 0.000 0.000   14.4402 13.1514 10.9106
 23   3  0.333 0.000 0.000 0.667 0.000   15.3060 14.0398 11.8228
 24   3  0.667 0.000 0.000 0.333 0.000   14.0850 12.8335 10.7026
 25   3  0.000 0.000 0.667 0.333 0.000   15.6669 14.3439 12.1709
 26   3  0.333 0.667 0.000 0.000 0.000   14.3198 13.0717 10.9673
 27   3  0.333 0.333 0.000 0.333 0.000   14.7467 13.4649 11.2671
 28   3  0.667 0.000 0.333 0.000 0.000   13.6470 12.3881 10.1604
 29   3  0.000 0.000 0.667 0.333 0.000   15.7055 14.3803 12.1286
 30   3  0.333 0.000 0.333 0.000 0.333   15.4473 14.1349 11.8886
 31   3  0.000 0.333 0.333 0.333 0.000   15.5105 14.2537 12.0942
 32   3  0.667 0.333 0.000 0.000 0.000   13.5647 12.3495 10.2019
 33   3  0.333 0.000 0.667 0.000 0.000   14.4291 13.1409 10.8971
 34   3  0.333 0.667 0.000 0.000 0.000   14.4536 13.2003 11.0735
 35   3  0.667 0.333 0.000 0.000 0.000   13.4770 12.2649 10.1196
 36   3  0.667 0.333 0.000 0.000 0.000   13.5846 12.3761 10.2636
 37   3  0.333 0.000 0.000 0.667 0.000   15.0039 13.6872 11.4432
 38   3  0.667 0.000 0.333 0.000 0.000   13.7818 12.5526 10.3890
 39   3  0.333 0.000 0.667 0.000 0.000   14.2539 12.9495 10.6582
 40   3  0.333 0.333 0.333 0.000 0.000   14.3220 13.0598 10.8980
 41   3  0.000 1.000 0.000 0.000 0.000   15.2789 14.0306 11.8846
 42   3  0.000 1.000 0.000 0.000 0.000   15.4000 14.1010 11.8775
 43   3  0.333 0.000 0.000 0.667 0.000   15.3544 14.0638 11.8643
 44   3  0.667 0.000 0.333 0.000 0.000   13.3379 12.1345 9.9658
 45   3  0.667 0.333 0.000 0.000 0.000   13.7141 12.4931 10.3671
 46   3  0.667 0.000 0.333 0.000 0.000   13.6005 12.3658 10.1842
 47   3  0.667 0.333 0.000 0.000 0.000   13.5900 12.3725 10.2413
 48   3  0.333 0.333 0.000 0.333 0.000   14.8048 13.5670 11.4346
 49   3  0.667 0.000 0.000 0.333 0.000   13.7849 12.5667 10.3822
 50   3  0.000 0.667 0.000 0.333 0.000   15.4712 14.1776 11.9760
 51   3  0.333 0.000 0.333 0.333 0.000   14.8447 13.5566 11.3425
 52   3  0.333 0.000 0.333 0.333 0.000   14.6616 13.3563 11.1183
 53   3  0.333 0.000 0.333 0.000 0.333   15.2565 13.9823 11.7604
 54   3  0.333 0.333 0.333 0.000 0.000   14.1996 12.9402 10.7399
 55   3  0.333 0.000 0.000 0.333 0.333   15.7894 14.4763 12.3359
 56   3  0.333 0.000 0.000 0.667 0.000   15.1226 13.8574 11.6922
 57   3  0.333 0.333 0.000 0.000 0.333   15.2255 13.9387 11.7329
 58   3  0.333 0.667 0.000 0.000 0.000   14.4172 13.1634 11.0192
 59   3  0.000 0.667 0.000 0.333 0.000   15.7683 14.4672 12.2805
 60   3  0.333 0.333 0.000 0.333 0.000   14.7806 13.5376 11.4004
 61   3  0.333 0.000 0.000 0.667 0.000   15.1476 13.8412 11.6177
 62   3  0.667 0.333 0.000 0.000 0.000   13.5627 12.3604 10.2387
 63   3  0.000 0.667 0.333 0.000 0.000   14.9749 13.7128 11.5456
 64   3  0.333 0.000 0.333 0.333 0.000   14.5931 13.3099 11.0611
 65   3  0.333 0.333 0.333 0.000 0.000   14.3649 13.0986 10.8982
 66   3  0.667 0.333 0.000 0.000 0.000   13.7063 12.4794 10.3362
 67   3  0.000 0.333 0.667 0.000 0.000   14.8594 13.6290 11.4331
 68   3  0.667 0.333 0.000 0.000 0.000   13.3893 12.2282 10.1769
 69   3  0.667 0.000 0.000 0.333 0.000   14.1221 12.8913 10.7699
 70   3  0.333 0.333 0.000 0.333 0.000   14.6390 13.3621 11.1700
 71   3  0.667 0.333 0.000 0.000 0.000   13.6790 12.4662 10.3267
 72   3  0.333 0.667 0.000 0.000 0.000   14.3848 13.1809 11.0799
 73   3  0.333 0.667 0.000 0.000 0.000   14.4384 13.1921 11.0802
 74   3  0.000 0.333 0.333 0.333 0.000   15.6632 14.3894 12.2608
 75   3  1.000 0.000 0.000 0.000 0.000   12.8326 11.6394 9.4706
 76   3  0.333 0.000 0.333 0.000 0.333   15.3821 14.0723 11.8808
 77   3  0.667 0.000 0.333 0.000 0.000   13.3748 12.1265 9.9017
 78   3  0.333 0.000 0.333 0.333 0.000   14.8439 13.5523 11.3169
 79   3  0.000 1.000 0.000 0.000 0.000   15.2922 14.0153 11.8507
 80   3  0.333 0.333 0.000 0.333 0.000   14.7629 13.5153 11.3266
 81   3  0.000 0.667 0.333 0.000 0.000   14.8210 13.5951 11.4285
 82   3  0.333 0.000 0.333 0.333 0.000   14.8202 13.5232 11.2687
 83   3  0.667 0.000 0.000 0.333 0.000   13.8464 12.6047 10.4097
