  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  0.000 0.000 0.000 1.000 0.000   15.5426 13.8731 11.7681
  2   1  0.000 1.000 0.000 0.000 0.000   14.3002 12.6315 10.3833
  3   1  0.000 1.000 0.000 0.000 0.000   14.1998 12.5183 10.2634
  4   1  0.000 1.000 0.000 0.000 0.000   14.3097 12.6350 10.4008
  5   1  1.000 0.000 0.000 0.000 0.000   12.2252 10.7309 8.5881
  6   1  0.000 0.000 1.000 0.000 0.000   13.8360 12.1551 9.8607
  7   1  1.000 0.000 0.000 0.000 0.000   12.1613 10.5970 8.4233
  8   1  0.000 0.000 1.000 0.000 0.000   13.7669 12.0914 9.7872
  9   1  0.000 0.000 1.000 0.000 0.000   13.7965 12.1703 9.9205
 10   1  1.000 0.000 0.000 0.000 0.000   12.2347 10.6779 8.5281
 11   1  0.000 1.000 0.000 0.000 0.000   14.2815 12.6301 10.4325
 12   1  1.000 0.000 0.000 0.000 0.000   12.3311 10.7709 8.6058
 13   1  1.000 0.000 0.000 0.000 0.000   12.1545 10.6004 8.4381
 14   1  0.000 0.000 0.000 1.000 0.000   15.5610 13.8973 11.8241
 15   1  0.000 1.000 0.000 0.000 0.000   14.2928 12.6100 10.3521
 16   1  0.000 0.000 1.000 0.000 0.000   13.7282 12.0777 9.7953
 17   1  1.000 0.000 0.000 0.000 0.000   12.2986 10.7473 8.5918
 18   1  0.000 1.000 0.000 0.000 0.000   14.2688 12.6051 10.3688
 19   1  1.000 0.000 0.000 0.000 0.000   12.2086 10.6517 8.4798
 20   1  0.000 0.000 1.000 0.000 0.000   13.8326 12.1520 9.8557
 21   1  1.000 0.000 0.000 0.000 0.000   12.2432 10.7058 8.5556
 22   1  1.000 0.000 0.000 0.000 0.000   12.2065 10.6446 8.4741
 23   1  0.000 0.000 1.000 0.000 0.000   13.8859 12.1989 9.8961
 24   1  0.000 0.000 0.000 1.000 0.000   15.5669 13.9188 11.8346
 25   1  1.000 0.000 0.000 0.000 0.000   12.3335 10.7731 8.6044
 26   1  1.000 0.000 0.000 0.000 0.000   12.3087 10.7480 8.5770
 27   1  1.000 0.000 0.000 0.000 0.000   12.3182 10.7567 8.5868
 28   1  1.000 0.000 0.000 0.000 0.000   12.2872 10.7239 8.5489
 29   1  0.000 0.000 1.000 0.000 0.000   13.6863 12.0506 9.8926
 30   1  0.000 0.000 1.000 0.000 0.000   13.8439 12.1578 9.8471
 31   1  1.000 0.000 0.000 0.000 0.000   12.2341 10.6709 8.5011
 32   1  0.000 1.000 0.000 0.000 0.000   14.3534 12.6704 10.4237
 33   1  1.000 0.000 0.000 0.000 0.000   12.2394 10.6874 8.5218
 34   1  1.000 0.000 0.000 0.000 0.000   12.1974 10.6678 8.5223
 35   1  0.000 1.000 0.000 0.000 0.000   14.2815 12.6301 10.4325
 36   1  0.000 0.000 1.000 0.000 0.000   13.8503 12.1624 9.8501
 37   1  1.000 0.000 0.000 0.000 0.000   12.2420 10.6939 8.5534
 38   1  1.000 0.000 0.000 0.000 0.000   12.2445 10.7012 8.5973
 39   1  0.000 0.000 1.000 0.000 0.000   13.7261 12.0404 9.7305
 40   1  1.000 0.000 0.000 0.000 0.000   12.3077 10.7673 8.6110
 41   1  1.000 0.000 0.000 0.000 0.000   12.1839 10.6447 8.4918
