  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  0.000 0.000 0.000 1.000 0.000   13.7245 12.3489 10.3992
  2   1  0.000 0.000 1.000 0.000 0.000   12.3176 10.8539 8.7072
  3   1  1.000 0.000 0.000 0.000 0.000   11.2933 9.8527 7.6315
  4   1  0.000 1.000 0.000 0.000 0.000   12.8063 11.3077 9.1695
  5   1  0.000 1.000 0.000 0.000 0.000   12.8002 11.3064 9.1802
  6   1  0.000 1.000 0.000 0.000 0.000   12.7942 11.3009 9.1600
  7   1  0.000 0.000 0.000 1.000 0.000   13.7257 12.3127 10.3611
  8   1  1.000 0.000 0.000 0.000 0.000   11.2343 9.8454 7.6534
  9   1  0.000 1.000 0.000 0.000 0.000   12.7761 11.3044 9.1708
 10   1  0.000 0.000 0.000 1.000 0.000   13.8133 12.3601 10.3878
 11   1  0.000 0.000 0.000 1.000 0.000   13.7690 12.3164 10.3274
 12   1  1.000 0.000 0.000 0.000 0.000   11.2293 9.7876 7.5564
 13   1  0.000 1.000 0.000 0.000 0.000   12.6737 11.1826 9.0482
 14   1  1.000 0.000 0.000 0.000 0.000   11.1579 9.7164 7.4905
 15   1  0.000 0.000 0.000 1.000 0.000   13.8243 12.3831 10.4049
 16   1  0.000 0.000 1.000 0.000 0.000   12.2696 10.8114 8.6881
 17   1  1.000 0.000 0.000 0.000 0.000   11.2729 9.8440 7.6461
 18   1  1.000 0.000 0.000 0.000 0.000   11.2416 9.8107 7.5881
 19   1  0.000 1.000 0.000 0.000 0.000   12.7964 11.2955 9.1550
 20   1  1.000 0.000 0.000 0.000 0.000   11.2703 9.8307 7.6163
 21   1  0.000 0.000 1.000 0.000 0.000   12.3553 10.8930 8.7615
 22   1  0.000 0.000 0.000 1.000 0.000   13.5527 12.1058 10.1296
 23   1  1.000 0.000 0.000 0.000 0.000   11.2696 9.8275 7.5971
 24   1  1.000 0.000 0.000 0.000 0.000   11.2092 9.7820 7.5525
 25   1  1.000 0.000 0.000 0.000 0.000   11.2933 9.8527 7.6315
 26   1  1.000 0.000 0.000 0.000 0.000   11.3021 9.8632 7.6481
 27   1  1.000 0.000 0.000 0.000 0.000   11.2492 9.8189 7.6023
 28   1  0.000 1.000 0.000 0.000 0.000   12.5744 11.0789 8.9452
 29   1  1.000 0.000 0.000 0.000 0.000   11.2830 9.8720 7.6691
 30   1  0.000 0.000 0.000 0.000 1.000   15.5713 14.1607 12.3218
 31   1  0.000 0.000 0.000 1.000 0.000   13.7533 12.3315 10.3644
 32   1  1.000 0.000 0.000 0.000 0.000   11.2830 9.8720 7.6691
 33   1  1.000 0.000 0.000 0.000 0.000   11.2373 9.8044 7.5858
 34   1  1.000 0.000 0.000 0.000 0.000   11.2693 9.8298 7.6158
 35   1  1.000 0.000 0.000 0.000 0.000   11.1840 9.7539 7.5551
 36   1  0.000 0.000 0.000 1.000 0.000   13.6931 12.2549 10.2850
 37   1  0.000 1.000 0.000 0.000 0.000   12.6869 11.1848 9.0391
 38   1  1.000 0.000 0.000 0.000 0.000   11.3034 9.8734 7.6729
 39   1  1.000 0.000 0.000 0.000 0.000   11.1816 9.7444 7.5209
 40   1  0.000 0.000 1.000 0.000 0.000   12.3929 10.9482 8.8157
 41   1  1.000 0.000 0.000 0.000 0.000   11.2696 9.8275 7.5971
 42   1  0.000 0.000 1.000 0.000 0.000   12.3597 10.8993 8.7668
 43   1  0.000 0.000 1.000 0.000 0.000   12.3892 10.9523 8.8259
 44   1  1.000 0.000 0.000 0.000 0.000   11.2693 9.8298 7.6158
 45   1  0.000 0.000 1.000 0.000 0.000   12.2745 10.8166 8.6740
 46   1  1.000 0.000 0.000 0.000 0.000   11.1417 9.7440 7.5641
 47   1  0.000 0.000 1.000 0.000 0.000   12.4133 10.9473 8.8011
 48   1  0.000 1.000 0.000 0.000 0.000   12.7803 11.2787 9.1392
 49   1  0.000 1.000 0.000 0.000 0.000   12.7952 11.3114 9.1958
 50   1  0.000 0.000 1.000 0.000 0.000   12.4282 10.9818 8.8480
 51   1  1.000 0.000 0.000 0.000 0.000   11.1840 9.7539 7.5551
 52   1  0.000 0.000 1.000 0.000 0.000   12.3891 10.9191 8.7719
 53   1  0.000 0.000 1.000 0.000 0.000   12.4152 10.9559 8.8311
 54   1  0.000 1.000 0.000 0.000 0.000   12.8177 11.3143 9.1689
 55   1  0.000 0.000 0.000 1.000 0.000   13.7176 12.2742 10.2924
 56   1  0.000 1.000 0.000 0.000 0.000   12.7429 11.2402 9.1005
 57   1  1.000 0.000 0.000 0.000 0.000   11.2067 9.7946 7.6138
 58   1  0.000 0.000 1.000 0.000 0.000   12.4365 10.9763 8.8335
 59   1  0.000 0.000 0.000 1.000 0.000   13.6769 12.2655 10.2933
 60   1  1.000 0.000 0.000 0.000 0.000   11.3170 9.8782 7.6529
 61   1  0.000 0.000 1.000 0.000 0.000   12.4161 10.9489 8.8021
 62   1  0.000 1.000 0.000 0.000 0.000   12.6665 11.1702 9.0374
 63   1  0.000 0.000 1.000 0.000 0.000   12.2423 10.7777 8.6280
 64   1  1.000 0.000 0.000 0.000 0.000   11.2585 9.8311 7.6195
 65   1  0.000 0.000 1.000 0.000 0.000   12.4069 10.9406 8.7958
 66   1  1.000 0.000 0.000 0.000 0.000   11.1579 9.7164 7.4905
 67   1  1.000 0.000 0.000 0.000 0.000   11.1442 9.7361 7.5966
 68   1  0.000 0.000 0.000 1.000 0.000   13.8103 12.3719 10.3918
 69   1  0.000 0.000 1.000 0.000 0.000   12.3357 10.8661 8.7205
 70   1  0.000 0.000 1.000 0.000 0.000   12.3144 10.8544 8.7108
 71   1  0.000 0.000 1.000 0.000 0.000   12.4152 10.9559 8.8311
 72   1  0.000 0.000 0.000 0.000 1.000   15.6239 14.2465 12.4337
 73   1  0.000 0.000 0.000 1.000 0.000   13.7010 12.2716 10.2992
 74   1  0.000 1.000 0.000 0.000 0.000   12.7893 11.2955 9.1743
 75   1  0.000 0.000 1.000 0.000 0.000   12.3357 10.8661 8.7205
