  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  0.000 0.000 0.000 0.000 1.000   11.1284 9.3797 7.2013
  2   1  0.000 0.000 0.000 1.000 0.000   11.3374 9.6046 7.4274
  3   1  0.000 0.000 0.000 1.000 0.000   11.3401 9.6030 7.4190
  4   1  0.000 0.000 1.000 0.000 0.000   11.5907 9.9622 7.9269
  5   1  0.000 0.000 0.000 0.000 1.000   11.0552 9.3033 7.1147
  6   1  0.000 0.000 0.000 0.000 1.000   11.1256 9.3841 7.2155
  7   1  0.000 0.000 0.000 0.000 1.000   11.1256 9.3841 7.2155
  8   1  0.000 0.000 0.000 1.000 0.000   11.3314 9.5899 7.3958
  9   1  0.000 1.000 0.000 0.000 0.000   12.3944 10.6525 8.5237
 10   1  0.000 0.000 0.000 1.000 0.000   11.3248 9.5959 7.4089
 11   1  0.000 0.000 0.000 0.000 1.000   11.1687 9.4175 7.2365
 12   1  0.000 0.000 0.000 0.000 1.000   11.0887 9.3644 7.2185
 13   1  0.000 1.000 0.000 0.000 0.000   12.2415 10.4966 8.3868
 14   1  0.000 0.000 0.000 0.000 1.000   11.1687 9.4175 7.2365
 15   1  0.000 0.000 1.000 0.000 0.000   11.6874 10.0498 8.0079
 16   1  0.000 0.000 0.000 1.000 0.000   11.2903 9.5534 7.3635
 17   1  0.000 0.000 1.000 0.000 0.000   11.7146 10.0721 8.0130
 18   1  0.000 0.000 0.000 0.000 1.000   11.1377 9.3971 7.2167
 19   1  0.000 0.000 0.000 1.000 0.000   11.3033 9.5765 7.3898
 20   1  0.000 0.000 0.000 1.000 0.000   11.3243 9.6083 7.4513
 21   1  0.000 0.000 0.000 1.000 0.000   11.2511 9.5778 7.4296
 22   1  0.000 0.000 0.000 1.000 0.000   11.3504 9.6127 7.4221
 23   1  0.000 0.000 0.000 0.000 1.000   11.0552 9.3033 7.1147
 24   1  0.000 0.000 0.000 0.000 1.000   11.1367 9.3879 7.2083
 25   1  0.000 1.000 0.000 0.000 0.000   12.2853 10.5831 8.4673
 26   1  1.000 0.000 0.000 0.000 0.000   13.6364 12.0516 10.2776
 27   1  0.000 0.000 0.000 0.000 1.000   11.0546 9.3145 7.1349
 28   1  1.000 0.000 0.000 0.000 0.000   13.6449 12.0571 10.2833
 29   1  0.000 0.000 0.000 1.000 0.000   11.3314 9.5899 7.3958
 30   1  1.000 0.000 0.000 0.000 0.000   13.5035 11.9783 10.2121
 31   1  0.000 1.000 0.000 0.000 0.000   12.2552 10.5613 8.4864
 32   1  0.000 0.000 0.000 0.000 1.000   11.1129 9.3783 7.2059
 33   1  0.000 0.000 1.000 0.000 0.000   11.6008 9.9629 7.9194
 34   1  0.000 0.000 0.000 0.000 1.000   11.0163 9.2831 7.1139
 35   1  1.000 0.000 0.000 0.000 0.000   13.6032 12.0534 10.3026
 36   1  1.000 0.000 0.000 0.000 0.000   13.5947 12.0271 10.2593
 37   1  0.000 0.000 0.000 0.000 1.000   11.0417 9.3216 7.1675
 38   1  1.000 0.000 0.000 0.000 0.000   13.3549 11.8207 10.0781
 39   1  0.000 0.000 0.000 0.000 1.000   11.0900 9.3433 7.1607
 40   1  0.000 1.000 0.000 0.000 0.000   12.3834 10.6420 8.5148
 41   1  1.000 0.000 0.000 0.000 0.000   13.5893 12.0182 10.2549
 42   1  0.000 0.000 0.000 1.000 0.000   11.3400 9.6162 7.4362
 43   1  0.000 0.000 0.000 0.000 1.000   11.1367 9.3879 7.2083
 44   1  1.000 0.000 0.000 0.000 0.000   13.5866 12.0023 10.2274
 45   1  0.000 0.000 1.000 0.000 0.000   11.6727 10.0296 7.9731
 46   1  0.000 1.000 0.000 0.000 0.000   12.3309 10.5803 8.4441
 47   1  0.000 0.000 1.000 0.000 0.000   11.7183 10.0792 8.0287
 48   1  0.000 1.000 0.000 0.000 0.000   12.2867 10.5590 8.4587
 49   1  0.000 0.000 1.000 0.000 0.000   11.7166 10.0724 8.0151
 50   1  0.000 0.000 0.000 0.000 1.000   11.1144 9.3804 7.2269
 51   1  0.000 0.000 0.000 0.000 1.000   11.0983 9.3529 7.1738
 52   1  0.000 1.000 0.000 0.000 0.000   12.3191 10.5714 8.4323
 53   1  0.000 0.000 0.000 0.000 1.000   10.9377 9.1863 6.9996
 54   1  0.000 0.000 1.000 0.000 0.000   11.6506 10.0306 8.0137
 55   1  1.000 0.000 0.000 0.000 0.000   13.4822 11.9169 10.1565
 56   1  0.000 0.000 0.000 1.000 0.000   11.3314 9.5899 7.3958
 57   1  0.000 0.000 0.000 0.000 1.000   11.0957 9.3766 7.2308
 58   1  0.000 0.000 1.000 0.000 0.000   11.6957 10.0733 8.0496
 59   1  0.000 0.000 0.000 1.000 0.000   11.3169 9.6060 7.4361
 60   1  0.000 0.000 0.000 1.000 0.000   11.3553 9.6159 7.4275
 61   1  0.000 0.000 1.000 0.000 0.000   11.6552 10.0485 8.0203
 62   1  0.000 1.000 0.000 0.000 0.000   12.3834 10.6420 8.5148
 63   1  0.000 0.000 0.000 0.000 1.000   11.1208 9.3707 7.1891
 64   1  0.000 0.000 0.000 1.000 0.000   11.2668 9.5392 7.3722
 65   1  0.000 0.000 0.000 0.000 1.000   11.1089 9.3659 7.2009
 66   1  0.000 0.000 1.000 0.000 0.000   11.6470 10.0158 7.9756
 67   1  0.000 0.000 0.000 0.000 1.000   11.1193 9.3775 7.2129
 68   1  0.000 0.000 1.000 0.000 0.000   11.5777 9.9854 7.9568
 69   1  0.000 0.000 0.000 0.000 1.000   11.0689 9.3303 7.1854
 70   1  0.000 0.000 0.000 0.000 1.000   11.1568 9.4082 7.2242
 71   1  0.000 1.000 0.000 0.000 0.000   12.3164 10.5955 8.4731
 72   1  0.000 0.000 1.000 0.000 0.000   11.7121 10.0757 8.0331
 73   1  1.000 0.000 0.000 0.000 0.000   13.6409 12.0562 10.2887
 74   1  1.000 0.000 0.000 0.000 0.000   13.6601 12.0789 10.3175
 75   1  0.000 0.000 0.000 0.000 1.000   11.1129 9.3783 7.2059
 76   1  0.000 0.000 0.000 0.000 1.000   11.0106 9.2818 7.1291
 77   1  1.000 0.000 0.000 0.000 0.000   13.4723 11.8945 10.1209
 78   1  1.000 0.000 0.000 0.000 0.000   13.6410 12.0572 10.2826
 79   1  0.000 0.000 0.000 0.000 1.000   11.0270 9.2817 7.1006
 80   1  1.000 0.000 0.000 0.000 0.000   13.6050 12.0246 10.2535
 81   1  0.000 0.000 1.000 0.000 0.000   11.6727 10.0296 7.9731
 82   1  0.000 1.000 0.000 0.000 0.000   12.2999 10.5663 8.4550
 83   1  1.000 0.000 0.000 0.000 0.000   13.3549 11.8207 10.0781
 84   1  0.000 0.000 1.000 0.000 0.000   11.6308 10.0011 7.9544
 85   1  0.000 0.000 1.000 0.000 0.000   11.6984 10.0561 7.9995
 86   1  0.000 1.000 0.000 0.000 0.000   12.1353 10.4057 8.3629
 87   1  0.000 0.000 0.000 0.000 1.000   11.0972 9.3601 7.1808
 88   1  0.000 0.000 0.000 1.000 0.000   11.3170 9.5776 7.3870
 89   1  0.000 1.000 0.000 0.000 0.000   12.2415 10.4966 8.3868
 90   1  0.000 0.000 0.000 0.000 1.000   11.0406 9.3052 7.1312
 91   1  1.000 0.000 0.000 0.000 0.000   13.5035 11.9783 10.2121
 92   1  1.000 0.000 0.000 0.000 0.000   13.6231 12.0565 10.2998
 93   1  0.000 0.000 1.000 0.000 0.000   11.7027 10.0587 8.0007
 94   1  0.000 0.000 0.000 1.000 0.000   11.2671 9.5764 7.4493
 95   1  1.000 0.000 0.000 0.000 0.000   13.6667 12.0882 10.3229
 96   1  0.000 0.000 1.000 0.000 0.000   11.6620 10.0414 7.9982
 97   1  0.000 0.000 0.000 0.000 1.000   11.1540 9.4080 7.2265
 98   1  1.000 0.000 0.000 0.000 0.000   13.6678 12.0856 10.3168
 99   1  0.000 1.000 0.000 0.000 0.000   12.2347 10.5315 8.4233
100   1  0.000 1.000 0.000 0.000 0.000   12.2521 10.5171 8.4087
---------------------------------------------------------------
AVG   1  0.190 0.150 0.180 0.170 0.310   11.8848 10.2008 8.1374
MIN   1  0.000 0.000 0.000 0.000 0.000   10.9377 9.1863 6.9996
MAX   1  1.000 1.000 1.000 1.000 1.000   13.6678 12.0882 10.3229

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  0.333 0.333 0.333 0.000 0.000   12.2184 10.6669 8.7841
  2   3  0.333 0.333 0.333 0.000 0.000   12.2407 10.6588 8.7601
  3   3  0.333 0.000 0.333 0.000 0.333   11.5513 9.8831 7.8377
  4   3  0.333 0.333 0.000 0.000 0.333   11.7502 10.0548 7.9763
  5   3  0.000 0.000 0.667 0.333 0.000   11.4029 9.7329 7.6707
  6   3  0.000 0.333 0.333 0.000 0.333   11.4446 9.7397 7.6108
  7   3  0.000 0.333 0.333 0.333 0.000   11.8052 10.0896 7.9668
  8   3  0.333 0.000 0.000 0.000 0.667   11.1453 9.5214 7.3843
  9   3  0.000 0.000 0.000 0.333 0.667   11.0403 9.2972 7.1198
 10   3  0.667 0.333 0.000 0.000 0.000   12.9842 11.3736 9.5441
 11   3  0.333 0.000 0.000 0.333 0.333   11.2590 9.5767 7.5491
 12   3  0.000 0.000 1.000 0.000 0.000   11.8050 10.1593 8.1083
 13   3  0.333 0.000 0.000 0.000 0.667   10.9494 9.2887 7.1802
 14   3  0.000 0.000 0.333 0.667 0.000   11.3494 9.6768 7.5587
 15   3  0.000 0.000 0.000 0.333 0.667   11.1518 9.3863 7.1832
 16   3  0.667 0.000 0.333 0.000 0.000   12.9253 11.3294 9.4627
 17   3  0.000 0.000 0.333 0.000 0.667   10.9886 9.2551 7.0887
 18   3  0.000 0.333 0.333 0.333 0.000   11.6188 9.9295 7.8335
 19   3  0.667 0.333 0.000 0.000 0.000   12.8064 11.1959 9.3420
 20   3  0.000 0.333 0.000 0.333 0.333   11.4605 9.7048 7.4881
 21   3  0.000 0.333 0.333 0.000 0.333   11.3948 9.7095 7.5972
 22   3  0.000 0.000 0.333 0.667 0.000   11.2903 9.6306 7.5391
 23   3  0.000 0.000 0.667 0.000 0.333   11.2078 9.5145 7.3627
 24   3  0.333 0.000 0.000 0.333 0.333   11.5126 9.8210 7.6942
 25   3  0.333 0.000 0.333 0.000 0.333   11.4376 9.8406 7.7842
 26   3  0.333 0.000 0.667 0.000 0.000   12.0663 10.4628 8.5044
 27   3  0.000 0.000 0.333 0.000 0.667   10.7929 9.1107 6.9625
 28   3  0.000 0.333 0.333 0.000 0.333   11.3320 9.6613 7.5294
 29   3  0.333 0.000 0.000 0.000 0.667   11.2196 9.5121 7.3903
 30   3  0.000 0.333 0.667 0.000 0.000   11.6386 10.0495 8.0221
 31   3  0.333 0.000 0.667 0.000 0.000   12.2213 10.6202 8.6544
 32   3  0.333 0.000 0.333 0.333 0.000   12.0081 10.3880 8.4246
 33   3  0.000 0.000 0.000 0.333 0.667   11.0980 9.3817 7.2292
 34   3  0.000 0.000 0.000 0.667 0.333   11.2396 9.4931 7.3041
 35   3  0.000 0.000 0.333 0.333 0.333   11.2308 9.5027 7.3356
 36   3  0.000 0.000 0.667 0.000 0.333   11.2233 9.5311 7.4401
 37   3  0.000 0.000 0.667 0.000 0.333   11.2446 9.5468 7.4275
 38   3  0.000 0.000 0.000 0.667 0.333   11.1968 9.4443 7.2404
 39   3  0.000 0.000 1.000 0.000 0.000   11.6025 9.9535 7.8906
 40   3  0.333 0.000 0.000 0.333 0.333   11.3552 9.6971 7.6019
 41   3  0.333 0.000 0.333 0.333 0.000   11.7924 10.1720 8.1553
 42   3  0.333 0.000 0.667 0.000 0.000   12.0641 10.5365 8.6675
 43   3  0.000 0.333 0.000 0.000 0.667   11.3441 9.5863 7.3855
 44   3  0.000 0.000 0.667 0.000 0.333   11.2126 9.5364 7.4077
 45   3  0.000 0.000 0.667 0.000 0.333   11.2389 9.5289 7.3938
 46   3  0.000 0.000 0.000 0.333 0.667   11.0940 9.4043 7.2740
 47   3  0.000 0.333 0.000 0.000 0.667   11.1914 9.4561 7.3351
 48   3  0.000 0.000 0.333 0.333 0.333   10.8243 9.2064 7.1176
 49   3  0.000 0.000 0.333 0.000 0.667   10.9379 9.3079 7.1748
 50   3  0.000 0.333 0.333 0.000 0.333   11.5013 9.7706 7.6187
 51   3  0.000 0.333 0.000 0.333 0.333   11.4260 9.6906 7.5100
 52   3  0.000 0.333 0.667 0.000 0.000   11.4643 9.7920 7.7971
 53   3  0.000 0.333 0.333 0.000 0.333   11.3682 9.6707 7.5244
 54   3  0.000 0.333 0.667 0.000 0.000   11.8651 10.2067 8.1615
 55   3  0.333 0.333 0.000 0.333 0.000   12.0926 10.4563 8.4798
 56   3  0.000 0.333 0.000 0.333 0.333   11.3375 9.5888 7.4092
 57   3  0.000 0.000 0.333 0.333 0.333   11.0636 9.3564 7.2250
 58   3  0.000 0.333 0.667 0.000 0.000   11.8671 10.2251 8.1953
 59   3  0.000 0.000 0.667 0.000 0.333   11.2085 9.5948 7.4716
 60   3  0.333 0.333 0.000 0.000 0.333   11.7945 10.1065 8.0238
 61   3  0.333 0.000 0.000 0.000 0.667   11.1803 9.5089 7.3782
