  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   1  0.000 0.000 0.000 1.000 0.000   13.0517 10.1416 7.3144
  2   1  0.000 0.000 1.000 0.000 0.000   13.8148 10.9767 8.3445
  3   1  1.000 0.000 0.000 0.000 0.000   15.5633 12.7772 10.5197
  4   1  0.000 0.000 0.000 0.000 1.000   13.0108 10.0907 7.2754
  5   1  0.000 0.000 0.000 1.000 0.000   13.2292 10.2491 7.4242
  6   1  0.000 0.000 0.000 1.000 0.000   13.2153 10.2481 7.4334
  7   1  0.000 0.000 0.000 1.000 0.000   13.1626 10.1765 7.3372
  8   1  0.000 0.000 0.000 1.000 0.000   13.2101 10.2224 7.3848
  9   1  0.000 0.000 0.000 1.000 0.000   13.1239 10.1997 7.3852
 10   1  1.000 0.000 0.000 0.000 0.000   15.5629 12.7373 10.3988
 11   1  0.000 0.000 0.000 0.000 1.000   13.0381 10.0520 7.1735
 12   1  0.000 0.000 1.000 0.000 0.000   13.8365 10.9853 8.3571
 13   1  0.000 0.000 0.000 0.000 1.000   13.0857 10.1028 7.2261
 14   1  0.000 0.000 1.000 0.000 0.000   13.7233 10.9982 8.4742
 15   1  0.000 0.000 0.000 1.000 0.000   13.1662 10.2206 7.4218
 16   1  0.000 0.000 0.000 0.000 1.000   12.9985 10.0629 7.2170
 17   1  0.000 0.000 0.000 0.000 1.000   12.9601 9.9891 7.1292
 18   1  1.000 0.000 0.000 0.000 0.000   15.6666 12.8284 10.5096
 19   1  0.000 0.000 0.000 0.000 1.000   13.0358 10.0648 7.2026
 20   1  0.000 0.000 1.000 0.000 0.000   13.8190 11.0095 8.4042
 21   1  0.000 0.000 1.000 0.000 0.000   13.8070 10.9454 8.3070
 22   1  0.000 0.000 0.000 1.000 0.000   13.1909 10.2334 7.4137
 23   1  0.000 0.000 0.000 0.000 1.000   12.9889 10.0563 7.2495
 24   1  0.000 0.000 0.000 1.000 0.000   13.2142 10.2247 7.3975
 25   1  0.000 0.000 0.000 0.000 1.000   13.0381 10.0520 7.1735
 26   1  0.000 0.000 0.000 1.000 0.000   13.1954 10.2299 7.4140
 27   1  0.000 1.000 0.000 0.000 0.000   13.9389 10.8929 8.1296
 28   1  1.000 0.000 0.000 0.000 0.000   15.6413 12.7819 10.4391
 29   1  0.000 0.000 1.000 0.000 0.000   13.8999 11.0462 8.4185
 30   1  0.000 0.000 0.000 1.000 0.000   13.1501 10.1757 7.3418
 31   1  0.000 0.000 1.000 0.000 0.000   13.8729 11.0202 8.3904
 32   1  0.000 0.000 0.000 0.000 1.000   13.0121 10.0435 7.1722
 33   1  0.000 0.000 1.000 0.000 0.000   13.8284 10.9818 8.3492
 34   1  0.000 0.000 0.000 0.000 1.000   13.0381 10.0520 7.1735
 35   1  0.000 0.000 1.000 0.000 0.000   13.8752 11.0519 8.4409
 36   1  0.000 1.000 0.000 0.000 0.000   13.9667 10.9262 8.1868
 37   1  0.000 0.000 1.000 0.000 0.000   13.9460 11.0928 8.4660
 38   1  0.000 0.000 1.000 0.000 0.000   13.8252 10.9765 8.3698
 39   1  0.000 0.000 1.000 0.000 0.000   13.8802 11.0249 8.4003
 40   1  0.000 1.000 0.000 0.000 0.000   13.9076 10.8978 8.1506
 41   1  1.000 0.000 0.000 0.000 0.000   15.6413 12.7819 10.4391
 42   1  0.000 0.000 1.000 0.000 0.000   13.8470 11.0371 8.4414
 43   1  0.000 0.000 0.000 0.000 1.000   13.0338 10.0830 7.2349
 44   1  1.000 0.000 0.000 0.000 0.000   15.6376 12.7842 10.4503
 45   1  0.000 0.000 1.000 0.000 0.000   13.8415 11.0492 8.4474
 46   1  0.000 0.000 0.000 1.000 0.000   13.0972 10.1402 7.3256
 47   1  0.000 0.000 0.000 0.000 1.000   13.0277 10.0876 7.2363
 48   1  1.000 0.000 0.000 0.000 0.000   15.7047 12.8448 10.5011
 49   1  0.000 0.000 0.000 1.000 0.000   13.0977 10.1845 7.3909
 50   1  0.000 0.000 1.000 0.000 0.000   13.8362 10.9947 8.3872
 51   1  0.000 0.000 1.000 0.000 0.000   13.8998 11.0479 8.4238
 52   1  0.000 0.000 0.000 0.000 1.000   12.9742 10.0018 7.1364
 53   1  0.000 0.000 0.000 1.000 0.000   13.0798 10.1168 7.2865
 54   1  0.000 0.000 0.000 0.000 1.000   13.0657 10.1216 7.2748
 55   1  0.000 0.000 0.000 1.000 0.000   13.1224 10.1554 7.3333
 56   1  0.000 0.000 1.000 0.000 0.000   13.7854 10.9754 8.3927
 57   1  0.000 0.000 1.000 0.000 0.000   13.7233 10.9982 8.4742
 58   1  0.000 0.000 1.000 0.000 0.000   13.8419 11.0018 8.4036
 59   1  0.000 0.000 1.000 0.000 0.000   13.8252 10.9765 8.3698
 60   1  0.000 0.000 0.000 0.000 1.000   13.0845 10.1162 7.2653
 61   1  0.000 0.000 1.000 0.000 0.000   13.8729 11.0318 8.4077
 62   1  0.000 0.000 0.000 1.000 0.000   13.0972 10.1402 7.3256
 63   1  0.000 1.000 0.000 0.000 0.000   13.7784 10.7786 8.2095
 64   1  0.000 1.000 0.000 0.000 0.000   13.8544 10.8677 8.1338
 65   1  0.000 0.000 1.000 0.000 0.000   13.8531 11.0224 8.4149
